부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.5,0.05,0.15,0.15,0.05,0.1,1.0,0.379105,0.109439471
0.55,0.1,0.05,0.1,0.1,0.1,1.0,0.363425,0.126156132
0.65,0.05,0.05,0.05,0.05,0.15,1.0,0.36158,0.12823511
0.7,0.05,0.05,0.05,0.05,0.1,1.0,0.36158,0.12823511
0.55,0.05,0.05,0.05,0.05,0.25,1.0,0.360658,0.129283616
0.5,0.1,0.05,0.1,0.15,0.1,1.0,0.35789,0.132465385
0.6,0.05,0.05,0.05,0.05,0.2,1.0,0.35789,0.132465385
0.5,0.05,0.05,0.05,0.1,0.25,1.0,0.355123,0.135701827
0.5,0.05,0.1,0.1,0.15,0.1,1.0,0.352356,0.138993323
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.350511,0.141218422
0.5,0.05,0.05,0.1,0.25,0.05,1.0,0.332986,0.163605316
0.55,0.1,0.05,0.1,0.15,0.05,1.0,0.329296,0.168610874
0.5,0.15,0.1,0.1,0.05,0.1,1.0,0.328374,0.169878389
0.5,0.05,0.05,0.05,0.05,0.3,1.0,0.327451,0.171152375
0.5,0.05,0.15,0.15,0.1,0.05,1.0,0.322839,0.177619731
0.55,0.05,0.1,0.1,0.15,0.05,1.0,0.321917,0.178932756
0.55,0.05,0.05,0.05,0.1,0.2,1.0,0.31915,0.182911114
0.6,0.1,0.1,0.1,0.05,0.05,1.0,0.317305,0.185596178
0.5,0.15,0.05,0.1,0.05,0.15,1.0,0.309926,0.196600548
0.5,0.15,0.05,0.1,0.1,0.1,1.0,0.308081,0.199417994
0.55,0.15,0.05,0.1,0.05,0.1,1.0,0.307158,0.200836712
0.5,0.1,0.05,0.1,0.2,0.05,1.0,0.301624,0.209489396
0.5,0.2,0.05,0.15,0.05,0.05,1.0,0.297012,0.216884503
0.5,0.1,0.05,0.05,0.05,0.25,1.0,0.295167,0.219889699
0.6,0.15,0.05,0.1,0.05,0.05,1.0,0.287788,0.232180958
0.6,0.05,0.05,0.05,0.1,0.15,1.0,0.281331,0.243292063
0.6,0.15,0.05,0.05,0.05,0.1,1.0,0.273952,0.256399089
0.5,0.15,0.05,0.1,0.15,0.05,1.0,0.26934,0.264812754
0.55,0.15,0.05,0.1,0.1,0.05,1.0,0.267495,0.268226025
0.5,0.05,0.15,0.1,0.05,0.15,1.0,0.265651,0.271666618
0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.261961,0.278629759
0.5,0.2,0.1,0.1,0.05,0.05,1.0,0.259194,0.283923805
0.5,0.2,0.05,0.1,0.05,0.1,1.0,0.252737,0.296515315
0.5,0.2,0.05,0.1,0.1,0.05,1.0,0.252737,0.296515315
0.5,0.05,0.15,0.1,0.1,0.1,1.0,0.247203,0.307573577
0.55,0.1,0.1,0.1,0.1,0.05,1.0,0.242591,0.316975496
0.55,0.15,0.05,0.05,0.05,0.15,1.0,0.241668,0.318876197
0.55,0.2,0.05,0.1,0.05,0.05,1.0,0.240746,0.32078366
0.55,0.1,0.05,0.05,0.05,0.2,1.0,0.237056,0.328481024
0.55,0.05,0.1,0.05,0.05,0.2,1.0,0.234289,0.334324776
0.65,0.05,0.05,0.05,0.1,0.1,1.0,0.234289,0.334324776
0.5,0.05,0.1,0.1,0.2,0.05,1.0,0.231522,0.340228969
0.6,0.05,0.15,0.1,0.05,0.05,1.0,0.228755,0.346193419
0.65,0.1,0.05,0.05,0.05,0.1,1.0,0.228755,0.346193419
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.22691,0.350203098
0.55,0.15,0.1,0.1,0.05,0.05,1.0,0.22691,0.350203098
0.5,0.05,0.1,0.05,0.05,0.25,1.0,0.214919,0.376912096
0.5,0.25,0.05,0.1,0.05,0.05,1.0,0.214919,0.376912096
0.5,0.05,0.05,0.05,0.15,0.2,1.0,0.213996,0.379012679
0.5,0.1,0.05,0.05,0.1,0.2,1.0,0.211229,0.385353552
0.55,0.05,0.05,0.05,0.15,0.15,1.0,0.208462,0.391752884
0.5,0.15,0.05,0.05,0.1,0.15,1.0,0.207539,0.393898932
0.5,0.05,0.2,0.15,0.05,0.05,1.0,0.199238,0.413502116
0.6,0.1,0.05,0.05,0.05,0.15,1.0,0.198316,0.415712098
0.7,0.05,0.05,0.05,0.1,0.05,1.0,0.196471,0.42015101
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.191859,0.431358172
0.6,0.05,0.1,0.05,0.05,0.15,1.0,0.190936,0.433618325
0.5,0.05,0.1,0.05,0.1,0.2,1.0,0.190014,0.435884683
0.5,0.2,0.15,0.05,0.05,0.05,1.0,-0.187247,0.442720834
0.55,0.1,0.05,0.05,0.1,0.15,1.0,0.185402,0.447309009
0.5,0.15,0.15,0.05,0.1,0.05,1.0,-0.182635,0.45423706
0.55,0.05,0.2,0.1,0.05,0.05,1.0,0.18079,0.458886091
0.7,0.1,0.05,0.05,0.05,0.05,1.0,0.18079,0.458886091
0.55,0.15,0.05,0.05,0.1,0.1,1.0,0.176178,0.470613829
0.5,0.2,0.05,0.05,0.05,0.15,1.0,0.173411,0.477721872
0.6,0.05,0.05,0.05,0.15,0.1,1.0,0.173411,0.477721872
0.5,0.15,0.1,0.1,0.1,0.05,1.0,0.171566,0.482490012
0.55,0.15,0.15,0.05,0.05,0.05,1.0,-0.169721,0.487281533
0.65,0.05,0.1,0.05,0.05,0.1,1.0,0.169721,0.487281533
0.5,0.15,0.05,0.05,0.05,0.2,1.0,0.166954,0.494512316
0.65,0.15,0.05,0.05,0.05,0.05,1.0,0.155885,0.523947222
0.5,0.15,0.2,0.05,0.05,0.05,1.0,-0.15404,0.528930989
0.5,0.05,0.15,0.1,0.15,0.05,1.0,0.153118,0.531431062
0.5,0.05,0.2,0.1,0.1,0.05,1.0,0.153118,0.531431062
0.5,0.1,0.15,0.1,0.05,0.1,1.0,0.151273,0.536447474
0.5,0.05,0.05,0.05,0.2,0.15,1.0,0.147584,0.546544722
0.5,0.05,0.2,0.1,0.05,0.1,1.0,0.145739,0.551625189
0.5,0.15,0.15,0.05,0.05,0.1,1.0,-0.144816,0.5541733
0.55,0.2,0.05,0.05,0.05,0.1,1.0,0.144816,0.5541733
0.6,0.1,0.05,0.05,0.1,0.1,1.0,0.140204,0.566991678
0.5,0.1,0.1,0.1,0.15,0.05,1.0,0.132825,0.587764873
0.5,0.1,0.15,0.05,0.15,0.05,1.0,-0.126368,0.606198816
0.5,0.2,0.1,0.05,0.1,0.05,1.0,-0.119912,0.624863458
0.5,0.25,0.1,0.05,0.05,0.05,1.0,-0.119912,0.624863458
0.5,0.1,0.05,0.05,0.15,0.15,1.0,0.118989,0.62754812
0.5,0.1,0.1,0.05,0.05,0.2,1.0,0.118067,0.630237269
0.65,0.1,0.05,0.05,0.1,0.05,1.0,0.118067,0.630237269
0.55,0.1,0.15,0.1,0.05,0.05,1.0,0.117145,0.632930876
0.5,0.05,0.25,0.1,0.05,0.05,1.0,0.114377,0.641038165
0.55,0.1,0.15,0.05,0.1,0.05,1.0,-0.113455,0.643749321
0.55,0.15,0.1,0.05,0.1,0.05,1.0,-0.109765,0.6546368
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.108843,0.657369236
0.65,0.05,0.05,0.05,0.15,0.05,1.0,0.106998,0.662846581
0.5,0.15,0.1,0.05,0.15,0.05,1.0,-0.102386,0.676611296
0.5,0.15,0.05,0.05,0.15,0.1,1.0,0.100541,0.682145084
0.5,0.25,0.05,0.05,0.05,0.1,1.0,0.099619,0.684917834
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.099619,0.684917834
0.6,0.1,0.1,0.05,0.1,0.05,1.0,-0.099619,0.684917834
0.6,0.15,0.1,0.05,0.05,0.05,1.0,-0.098697,0.687694447
0.5,0.05,0.15,0.05,0.05,0.2,1.0,0.097774,0.690474892
0.5,0.1,0.1,0.05,0.2,0.05,1.0,-0.095007,0.698838901
0.55,0.05,0.15,0.05,0.05,0.15,1.0,0.09224,0.707236261
0.55,0.2,0.1,0.05,0.05,0.05,1.0,-0.09224,0.707236261
0.6,0.2,0.05,0.05,0.05,0.05,1.0,0.085783,0.726954941
0.5,0.1,0.15,0.05,0.1,0.1,1.0,-0.084861,0.729785687
0.5,0.2,0.1,0.05,0.05,0.1,1.0,-0.084861,0.729785687
0.5,0.15,0.1,0.05,0.1,0.1,1.0,-0.081171,0.741141839
0.5,0.2,0.05,0.05,0.1,0.1,1.0,0.079326,0.74683935
0.55,0.1,0.05,0.05,0.15,0.1,1.0,0.079326,0.74683935
0.5,0.1,0.2,0.1,0.05,0.05,1.0,0.078404,0.749692847
0.5,0.05,0.2,0.05,0.05,0.15,1.0,0.077481,0.75254946
0.5,0.1,0.2,0.05,0.1,0.05,1.0,-0.075637,0.758271901
0.6,0.15,0.05,0.05,0.1,0.05,1.0,0.074714,0.76113766
0.5,0.05,0.15,0.05,0.2,0.05,1.0,-0.073792,0.7640064
0.55,0.15,0.1,0.05,0.05,0.1,1.0,-0.06549,0.789953521
0.5,0.1,0.1,0.05,0.15,0.1,1.0,-0.064568,0.792850173
0.5,0.1,0.15,0.1,0.1,0.05,1.0,0.064568,0.792850173
0.55,0.1,0.1,0.05,0.1,0.1,1.0,-0.062723,0.798651241
0.55,0.05,0.2,0.05,0.05,0.1,1.0,0.060878,0.804462426
0.7,0.05,0.1,0.05,0.05,0.05,1.0,0.060878,0.804462426
0.5,0.1,0.1,0.05,0.1,0.15,1.0,-0.059956,0.807371724
0.5,0.05,0.1,0.05,0.25,0.05,1.0,-0.059033,0.810283446
0.5,0.1,0.25,0.05,0.05,0.05,1.0,-0.053499,0.827802662
0.5,0.3,0.05,0.05,0.05,0.05,1.0,0.052577,0.830730345
0.5,0.1,0.05,0.05,0.25,0.05,1.0,-0.051654,0.833660164
0.55,0.1,0.1,0.05,0.15,0.05,1.0,-0.048887,0.842462079
0.6,0.1,0.05,0.05,0.15,0.05,1.0,0.047965,0.845400081
0.5,0.05,0.1,0.05,0.2,0.1,1.0,-0.04612,0.851281915
0.55,0.2,0.05,0.05,0.1,0.05,1.0,0.04612,0.851281915
0.55,0.05,0.1,0.05,0.2,0.05,1.0,-0.045197,0.854225673
0.55,0.05,0.05,0.05,0.2,0.1,1.0,0.044275,0.857171276
0.5,0.05,0.15,0.05,0.15,0.1,1.0,-0.043353,0.860118687
0.5,0.05,0.25,0.05,0.05,0.1,1.0,0.039663,0.871925683
0.55,0.25,0.05,0.05,0.05,0.05,1.0,0.038741,0.874881585
0.6,0.1,0.15,0.05,0.05,0.05,1.0,-0.036896,0.880798114
0.5,0.15,0.05,0.05,0.2,0.05,1.0,-0.035051,0.886720694
0.5,0.05,0.3,0.05,0.05,0.05,1.0,-0.034129,0.889684161
0.55,0.05,0.15,0.05,0.15,0.05,1.0,-0.034129,0.889684161
0.55,0.1,0.2,0.05,0.05,0.05,1.0,-0.034129,0.889684161
0.65,0.05,0.15,0.05,0.05,0.05,1.0,0.032284,0.895615261
0.5,0.2,0.05,0.05,0.15,0.05,1.0,0.031362,0.89858282
0.6,0.1,0.1,0.05,0.05,0.1,1.0,-0.031362,0.89858282
