부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,가중치합,spearman_rho,p_value
0.5,0.05,0.05,0.15,0.2,0.05,1.0,0.354483,0.006330261
0.55,0.05,0.1,0.05,0.1,0.15,1.0,0.354452,0.006335192
0.55,0.05,0.05,0.05,0.1,0.2,1.0,0.354327,0.006354952
0.55,0.1,0.1,0.15,0.05,0.05,1.0,0.354171,0.006379727
0.6,0.1,0.05,0.05,0.05,0.15,1.0,0.353237,0.006530162
0.5,0.05,0.15,0.1,0.15,0.05,1.0,0.352552,0.006642445
0.6,0.1,0.1,0.05,0.1,0.05,1.0,0.352552,0.006642445
0.5,0.05,0.05,0.1,0.15,0.15,1.0,0.352241,0.006694038
0.55,0.05,0.15,0.15,0.05,0.05,1.0,0.351649,0.006793031
0.65,0.15,0.05,0.05,0.05,0.05,1.0,0.351275,0.006856211
0.55,0.05,0.15,0.1,0.1,0.05,1.0,0.350123,0.007054258
0.55,0.05,0.05,0.05,0.05,0.25,1.0,0.3495,0.007163377
0.55,0.1,0.05,0.05,0.15,0.1,1.0,0.349282,0.007201915
0.55,0.1,0.1,0.05,0.15,0.05,1.0,0.348753,0.007296263
0.6,0.05,0.15,0.05,0.05,0.1,1.0,0.348504,0.007341034
0.5,0.05,0.05,0.05,0.15,0.2,1.0,0.347694,0.007488199
0.55,0.05,0.1,0.2,0.05,0.05,1.0,0.346666,0.007678688
0.55,0.05,0.15,0.1,0.05,0.1,1.0,0.345421,0.007915236
0.55,0.1,0.05,0.1,0.1,0.1,1.0,0.345358,0.007927228
0.5,0.05,0.15,0.15,0.1,0.05,1.0,0.344954,0.008005564
0.5,0.05,0.1,0.05,0.15,0.15,1.0,0.344922,0.008011618
0.6,0.1,0.1,0.05,0.05,0.1,1.0,0.344829,0.008029803
0.5,0.05,0.1,0.1,0.05,0.2,1.0,0.344175,0.008158108
0.6,0.1,0.05,0.15,0.05,0.05,1.0,0.343864,0.00821983
0.55,0.05,0.15,0.05,0.1,0.1,1.0,0.342618,0.008470802
0.55,0.1,0.1,0.05,0.1,0.1,1.0,0.342026,0.008592331
0.6,0.05,0.2,0.05,0.05,0.05,1.0,0.341777,0.008643953
0.5,0.1,0.1,0.05,0.2,0.05,1.0,0.341248,0.008754545
