산업명,연도,F1,F2,F3,F4,F5,최종점수
건설업,2015,0.020408509282701784,0.4234533517503433,-2.1482363664638786,4.879399604129645,19.887152306783214,4.612435481096405
건설업,2016,0.011191720635635859,0.4284240440861589,-4.867143982565904,7.129269704700107,15.107775216144383,3.561903340600076
건설업,2017,0.003171467206131366,0.44097207338154953,-2.107007595733428,8.434048737505783,12.310609717395941,3.8163588799511956
건설업,2018,-0.0035324689225951916,0.437532298640748,2.4498785153142544,7.096120129132963,11.599960080550922,4.315991710943258
건설업,2019,-0.007210849994954138,0.4480501859088257,2.3006613838320598,9.70349944515192,11.948656395167681,4.878731312013107
건설업,2020,-0.01755543548201432,0.5418391940639352,20.216883038270492,9.689309080795073,11.284062475395132,8.342907670608522
건설업,2021,-0.005242401811014208,0.48383993529206476,16.50187469572449,9.462031484261185,13.320222540303021,7.952545250753948
건설업,2022,0.002790667294680256,0.4361053368335119,-1.214714329228972,7.634140660599545,16.721242610737995,4.715912989247352
건설업,2023,0.00909875818551601,0.47245098138134367,-1.8394440338615041,6.140427742635826,19.114763490187144,4.779459387705665
건설업,2024,0.018589874990922454,0.4678763661699282,7.221665896923422,6.122631164412102,23.965881746922555,7.559329009883785
