Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.1375,1.0,0.0738,0.9046,0.2703,0.6013
2017,0.1593,0.1552,0.1636,0.8636,0.1797,0.9251
2018,0.2435,0.9531,0.1396,0.9026,0.3717,0.697
2019,0.3273,0.9802,0.1964,0.9132,0.4645,0.6688
2020,0.3754,0.8841,0.2383,0.9461,0.6777,0.8219
2021,0.2347,0.9796,0.1333,0.9098,0.2602,0.7208
