산업명,연도,F1,F2,F3,F4,F5,최종점수
오락문화업,2015,-0.04463040460939145,-1.0432617427095408,2.9423447594282557,35.83849275608693,-45.701889988751226,-1.6017889241109955
오락문화업,2016,-0.04181786434333528,-0.9210412029141214,-3.8143271695656145,38.22249930857747,-48.803895658413985,-3.071716517331917
오락문화업,2017,-0.03973405409243911,-0.9413967762947052,6.602632185590102,33.06085890552641,-46.87010840436166,-1.6375496287264582
오락문화업,2018,-0.045891328994557244,-0.9611164656141172,1.2606733562286945,33.040445894201596,-44.826153979607106,-2.3064085047570986
오락문화업,2019,-0.058040793806114016,-0.9352238577332391,-4.5759709139378755,34.385719766145435,-45.06573307893298,-3.2498497756529545
오락문화업,2020,-0.018305843171499595,-1.956411295079171,61.96620630695042,29.211821209776122,-43.82004954383869,9.076652166927436
오락문화업,2021,-0.08591085321435936,-1.679769752382978,-1.854921670454706,26.944269137407353,-42.48528921548473,-3.8323244708258835
오락문화업,2022,-0.09400330953054631,-1.1069599767302312,-36.16110372484624,29.78084426242899,-42.74084457639259,-10.064413465014123
오락문화업,2023,-0.14498378012237798,-1.896908877952405,27.754790127496474,24.09440044197668,-39.32096990061473,2.097265602156729
오락문화업,2024,-0.11080966542771264,-1.8962645458902938,0.2846173435628634,21.46538561762104,-35.88527854115613,-3.228469958258047
