,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_PR_AUC,Gap_ROC_AUC
1,top55_dedup39,lasso_features_top55--39.csv,39,ClassWeight,-,RandomForest,0.4918,0.4504504504504504,0.7731958762886598,0.4039936714406589,0.8966331843480397,-0.1031653683081861,-0.0147267938836506,-0.0911357878091286,-0.0103718618585132
2,top60_dedup44,lasso_features_top60--44.csv,44,ClassWeight,-,RandomForest,0.4766,0.433048433048433,0.7835051546391752,0.3799165635600089,0.8940346036455725,-0.0826780369574295,-0.0125516001844766,-0.0567140930444644,-0.0043495530125267
3,top60_dedup44,lasso_features_top60--44.csv,44,ClassWeight,-,LogisticRegression,0.4716,0.4573643410852713,0.6082474226804123,0.4254626641508863,0.8655021875324823,-0.1787473332125966,-0.0745043693950249,-0.1962936750710989,-0.0643728557957485
4,top65_dedup49,lasso_features_top65--49.csv,49,ClassWeight,-,LogisticRegression,0.4655,0.4505928853754941,0.5876288659793815,0.4255415172815912,0.8644344070983775,-0.1768357512033719,-0.0667063255145068,-0.1964825206282761,-0.0653297355746711
5,top55_dedup39,lasso_features_top55--39.csv,39,ClassWeight,-,LogisticRegression,0.4645,0.4316546762589928,0.6185567010309279,0.4226449473474719,0.8585285418654974,-0.1399377403077307,-0.0846370356467315,-0.1728955217833035,-0.0466804057563414
6,top65_dedup49,lasso_features_top65--49.csv,49,ClassWeight,-,RandomForest,0.4581,0.4222873900293255,0.7422680412371134,0.365850851549563,0.8900753115934498,-0.073887358850039,0.0637331238830448,-0.0328475357874367,0.0044004073058847
7,top55_dedup39,lasso_features_top55--39.csv,39,BorderlineSMOTE,0.2,LogisticRegression,0.4228,0.4020618556701031,0.4020618556701031,0.4434635684283327,0.8588356468576072,-0.2283595021433271,-0.2193967899958841,-0.1982038036482363,-0.0522112667441818
8,top55_dedup39,lasso_features_top55--39.csv,39,CTGAN,0.2,LogisticRegression,0.4078,0.3980099502487562,0.4123711340206185,0.4118669715422521,0.8482192635149821,-0.2605850861579328,-0.3229534007241667,-0.1688989628685426,-0.073488474203769
9,top55_dedup39,lasso_features_top55--39.csv,39,,-,LogisticRegression,0.4014,0.3777777777777777,0.3505154639175257,0.4358544369520227,0.858523817173311,-0.2474247212233482,-0.2327094522327955,-0.1906008726207638,-0.0516327098688549
10,top55_dedup39,lasso_features_top55--39.csv,39,CTGAN,0.1,LogisticRegression,0.4014,0.3777777777777777,0.3505154639175257,0.4358544369520227,0.858523817173311,-0.2474247212233482,-0.2327094522327955,-0.1906008726207638,-0.0516327098688549
