column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
순차입금비율_diff,2458,16488,0.730017,0.509718,0.883051,0.01184,0.0676,0.6609,distress_high,26786364.5,9.199903977403015e-147,1.8783137287197824e-146,1.0,1,
순차입금비율_ratio,2458,16488,0.758511,0.504499,0.798427,0.010125,0.0748,0.6624,distress_high,26844239.0,2.4201999168680872e-149,5.212738282485111e-149,1.0,1,
금융부채비율_diff,2458,16488,0.753983,0.518871,0.93338,0.011023,0.0731,0.6587,distress_high,26693563.0,1.0218991795641315e-142,1.983091477173958e-142,1.0,1,
금융부채비율_ratio,2458,16488,0.738117,0.494974,0.846814,0.007353,0.0769,0.6598,distress_high,26738970.0,4.572650659377847e-145,9.052924537758162e-145,1.0,1,
자기자본비율_diff,2458,16488,-1.389091,0.738374,0.684048,0.74842,-0.1062,0.2674,normal_high,10837981.5,6.85789026413968e-304,5.01921554548404e-303,1.0,1,
자기자본비율_ratio,2458,16488,-0.8968,0.758395,0.71616,0.766074,-0.1061,0.2732,normal_high,11072744.5,4.769074293792554e-289,2.67068160452383e-288,1.0,1,
유보율_diff,2458,16488,0.489417,0.626919,0.521814,0.548913,-0.1271,0.2975,normal_high,12055848.0,5.92528669043741e-231,2.0374670023258462e-230,1.0,1,
유보율_ratio,2458,16488,0.337296,0.350756,0.347242,0.34756,-0.0787,0.2693,normal_high,10914347.0,5.072085047078295e-299,3.4280298938873994e-298,1.0,1,
자본잠식률_diff,2458,16488,0.621915,0.502951,0.625825,0.605799,0.1418,0.6839,distress_high,27718530.0,6.979313649834545e-191,1.8485749667129336e-190,1.0,1,
자본잠식률_ratio,2458,16488,0.330396,0.336669,0.334475,0.334648,-0.0657,0.3005,normal_high,12180100.5,4.452643711713009e-224,1.3852669325329362e-223,1.0,1,
유동비율_diff,2458,16488,0.085597,0.097794,0.004041,0.005872,-0.006,0.3662,normal_high,14839311.0,5.224828548997831e-102,8.75270423592799e-102,1.0,1,
