생애주기_최종,정상,부실,합계,부실률(%)
도입기,781,546,1327,41.15
성장기,812,193,1005,19.2
성숙기,2238,286,2524,11.33
쇠퇴기,743,430,1173,36.66
All,4574,1455,6029,24.13
