사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화
1018100210,대왕산업(주),2024,조정기,0,100.0,15.0,66.4,46.94,3.2,50.32
1018100340,대일건설주식회사,2015,조정기,0,0.0,36.5,0.0,49.57,8.61,48.48
1018100340,대일건설주식회사,2016,조정기,0,25.83,33.6,84.08,49.61,3.39,44.63
1018100340,대일건설주식회사,2017,조정기,0,39.31,29.1,83.37,37.68,1.33,46.97
1018100340,대일건설주식회사,2018,쇠퇴기,0,80.26,100.0,88.75,52.86,2.65,48.98
1018100340,대일건설주식회사,2019,성숙기,0,82.08,0.0,100.0,50.59,1.37,47.33
1018100340,대일건설주식회사,2020,조정기,0,75.74,26.8,69.2,58.51,2.78,49.52
1018100340,대일건설주식회사,2021,조정기,0,50.36,23.6,56.61,41.55,2.31,48.88
1018100340,대일건설주식회사,2022,조정기,0,91.71,27.1,62.13,43.39,0.52,47.97
1018100340,대일건설주식회사,2023,조정기,0,97.78,16.9,62.21,40.5,0.06,48.5
1018100340,대일건설주식회사,2024,조정기,0,100.0,15.0,66.4,46.84,0.17,50.38
1018101126,우성개발(주),2015,성숙기,0,0.0,10.5,0.0,50.31,29.76,64.79
1018101126,우성개발(주),2016,성숙기,0,25.83,4.3,84.08,49.59,76.86,73.1
1018101126,우성개발(주),2017,성숙기,0,39.31,0.0,83.37,37.72,10.09,11.95
1018101126,우성개발(주),2018,성숙기,0,80.26,0.0,88.75,53.45,59.3,74.39
1018101126,우성개발(주),2019,조정기,0,82.08,28.7,100.0,50.91,81.03,60.06
1018101126,우성개발(주),2020,성장기,1,75.74,11.7,69.2,59.25,85.59,51.65
1018101242,주식회사코아토탈시스템,2015,성숙기,0,0.0,10.5,0.0,51.33,0.14,47.91
1018101242,주식회사코아토탈시스템,2016,성숙기,0,25.83,4.3,84.08,49.65,0.4,47.77
1018101242,주식회사코아토탈시스템,2017,성숙기,0,39.31,0.0,83.37,37.68,0.66,48.23
1018101242,주식회사코아토탈시스템,2018,성숙기,0,80.26,0.0,88.75,53.17,0.87,48.39
1018101242,주식회사코아토탈시스템,2019,조정기,0,82.08,28.7,100.0,50.22,4.17,49.79
1018101242,주식회사코아토탈시스템,2020,성숙기,0,75.74,0.0,69.2,59.29,13.64,53.78
1018101242,주식회사코아토탈시스템,2021,조정기,0,50.36,23.6,56.61,41.76,75.35,81.15
1018101242,주식회사코아토탈시스템,2022,도입기,0,91.71,97.6,62.13,42.93,84.78,53.95
1018101242,주식회사코아토탈시스템,2023,성장기,0,97.78,26.3,62.21,40.07,25.28,18.26
1018103819,대광흥산주식회사,2015,성숙기,0,0.0,10.5,0.0,50.67,0.24,47.76
1018103819,대광흥산주식회사,2016,성숙기,0,25.83,4.3,84.08,49.74,0.27,47.64
1018103819,대광흥산주식회사,2017,성숙기,0,39.31,0.0,83.37,38.35,0.18,48.05
1018103819,대광흥산주식회사,2018,성숙기,0,80.26,0.0,88.75,53.22,0.44,48.42
1018103819,대광흥산주식회사,2019,성숙기,0,82.08,0.0,100.0,51.42,0.55,48.07
1018103819,대광흥산주식회사,2020,성숙기,0,75.74,0.0,69.2,58.61,0.49,48.74
1018103819,대광흥산주식회사,2021,성숙기,0,50.36,0.0,56.61,41.14,63.98,82.1
1018103819,대광흥산주식회사,2022,쇠퇴기,0,91.71,100.0,62.13,42.44,69.58,51.92
1018103819,대광흥산주식회사,2023,성숙기,0,97.78,0.0,62.21,39.58,2.92,14.43
1018103819,대광흥산주식회사,2024,조정기,0,100.0,15.0,66.4,46.11,1.26,49.41
1018104161,에이치와이에셋(주),2015,성숙기,0,0.0,10.5,0.0,48.12,0.08,47.87
1018104161,에이치와이에셋(주),2016,성숙기,0,25.83,4.3,84.08,50.33,0.03,47.6
1018104161,에이치와이에셋(주),2017,조정기,0,39.31,29.1,83.37,39.56,0.6,48.4
1018104161,에이치와이에셋(주),2018,성숙기,0,80.26,0.0,88.75,53.59,0.41,48.18
1018104161,에이치와이에셋(주),2019,조정기,0,82.08,28.7,100.0,49.92,1.36,48.52
1018104477,신창기업,2015,도입기,1,0.0,45.6,0.0,49.42,90.56,49.41
1018104991,(주)공간종합건축사사무소,2018,성숙기,0,80.26,0.0,88.75,55.8,7.71,48.29
1018104991,(주)공간종합건축사사무소,2019,성숙기,0,82.08,0.0,100.0,35.08,1.25,44.56
1018104991,(주)공간종합건축사사무소,2020,성숙기,0,75.74,0.0,69.2,55.78,0.82,48.55
1018104991,(주)공간종합건축사사무소,2021,성장기,0,50.36,9.5,56.61,41.02,0.78,49.1
1018104991,(주)공간종합건축사사무소,2022,조정기,0,91.71,27.1,62.13,43.52,0.56,48.8
1018104991,(주)공간종합건축사사무소,2023,쇠퇴기,0,97.78,68.0,62.21,40.57,79.91,90.09
1018104991,(주)공간종합건축사사무소,2024,쇠퇴기,0,100.0,62.9,66.4,47.39,0.67,7.12
1018117254,서우수력주식회사,2015,조정기,0,0.0,36.5,0.0,50.89,4.96,38.65
1018117254,서우수력주식회사,2016,조정기,0,25.83,33.6,84.08,49.11,3.79,46.91
1018117254,서우수력주식회사,2017,조정기,0,39.31,29.1,83.37,36.59,5.24,48.81
1018117254,서우수력주식회사,2018,조정기,0,80.26,33.8,88.75,52.61,4.71,48.0
1018117254,서우수력주식회사,2019,쇠퇴기,0,82.08,100.0,100.0,50.66,39.36,66.75
1018117254,서우수력주식회사,2020,쇠퇴기,0,75.74,100.0,69.2,58.79,73.7,67.07
1018117254,서우수력주식회사,2021,조정기,1,50.36,23.6,56.61,38.68,72.8,48.51
1018119140,성안흥업주식회사,2015,성숙기,0,0.0,10.5,0.0,50.01,1.18,48.51
1018119140,성안흥업주식회사,2016,성숙기,0,25.83,4.3,84.08,49.09,0.06,47.0
1018119140,성안흥업주식회사,2017,성숙기,0,39.31,0.0,83.37,35.89,0.08,48.1
1018119140,성안흥업주식회사,2018,조정기,0,80.26,33.8,88.75,51.94,0.18,48.34
1018119140,성안흥업주식회사,2019,조정기,0,82.08,28.7,100.0,48.47,0.79,48.33
1018121646,오원물산(주),2015,성숙기,0,0.0,10.5,0.0,48.19,5.98,49.84
1018121646,오원물산(주),2016,성숙기,0,25.83,4.3,84.08,49.45,2.44,45.59
1018121646,오원물산(주),2017,성숙기,0,39.31,0.0,83.37,37.41,3.38,48.56
1018121646,오원물산(주),2018,성숙기,0,80.26,0.0,88.75,52.56,4.44,48.84
1018121646,오원물산(주),2019,성숙기,0,82.08,0.0,100.0,49.76,1.67,46.53
1018121646,오원물산(주),2020,성숙기,0,75.74,0.0,69.2,59.07,1.82,48.86
1018121646,오원물산(주),2021,성장기,0,50.36,9.5,56.61,41.74,17.43,57.23
1018121646,오원물산(주),2022,성숙기,0,91.71,0.0,62.13,42.88,6.66,43.23
1018121646,오원물산(주),2023,조정기,0,97.78,16.9,62.21,40.04,8.88,49.94
1018121646,오원물산(주),2024,성숙기,0,100.0,0.0,66.4,46.53,10.44,51.14
1018123339,(주)해암산업,2016,성장기,0,25.83,0.0,84.08,49.91,42.42,47.63
1018123339,(주)해암산업,2017,조정기,0,39.31,29.1,83.37,38.61,77.82,66.11
1018123339,(주)해암산업,2018,조정기,1,80.26,33.8,88.75,53.73,78.05,48.43
1018132686,삼한교역상사주식회사,2020,쇠퇴기,0,75.74,100.0,69.2,58.7,0.39,48.78
1018132686,삼한교역상사주식회사,2021,도입기,0,50.36,81.5,56.61,41.27,78.96,89.93
1018132686,삼한교역상사주식회사,2022,성숙기,0,91.71,0.0,62.13,42.83,36.07,26.28
1018132686,삼한교역상사주식회사,2023,성숙기,1,97.78,0.0,62.21,42.25,69.21,66.23
1018133287,신영흥산(주),2015,성숙기,0,0.0,10.5,0.0,51.66,0.16,47.85
1018133287,신영흥산(주),2016,성숙기,0,25.83,4.3,84.08,49.63,0.2,47.65
1018133287,신영흥산(주),2017,성숙기,0,39.31,0.0,83.37,37.74,0.19,48.09
1018133287,신영흥산(주),2018,성숙기,0,80.26,0.0,88.75,52.91,0.23,48.3
1018133287,신영흥산(주),2019,성숙기,0,82.08,0.0,100.0,50.59,0.34,48.07
1018133287,신영흥산(주),2020,성숙기,0,75.74,0.0,69.2,58.35,0.38,48.79
1018133287,신영흥산(주),2021,쇠퇴기,0,50.36,100.0,56.61,42.36,58.48,79.3
1018133287,신영흥산(주),2022,성숙기,0,91.71,0.0,62.13,42.26,52.81,45.95
1018133287,신영흥산(주),2023,성장기,0,97.78,26.3,62.21,39.56,0.26,21.68
1018133287,신영흥산(주),2024,성숙기,0,100.0,0.0,66.4,44.58,0.07,50.22
1018135117,주식회사에스케이산업,2015,도입기,0,0.0,45.6,0.0,50.57,8.25,52.42
1018135117,주식회사에스케이산업,2016,쇠퇴기,0,25.83,100.0,84.08,48.7,7.41,47.05
1018135117,주식회사에스케이산업,2017,성숙기,0,39.31,0.0,83.37,35.96,4.81,46.63
1018135117,주식회사에스케이산업,2018,조정기,0,80.26,33.8,88.75,52.37,4.99,48.38
1018135117,주식회사에스케이산업,2019,조정기,0,82.08,28.7,100.0,51.21,6.27,48.72
1018135117,주식회사에스케이산업,2020,조정기,0,75.74,26.8,69.2,58.35,11.55,51.59
1018135117,주식회사에스케이산업,2021,쇠퇴기,0,50.36,100.0,56.61,40.84,10.92,48.78
1018135117,주식회사에스케이산업,2022,성숙기,0,91.71,0.0,62.13,43.01,6.67,46.67
1018135117,주식회사에스케이산업,2023,조정기,0,97.78,16.9,62.21,40.15,4.24,47.51
1018135117,주식회사에스케이산업,2024,성숙기,0,100.0,0.0,66.4,46.54,9.43,53.13
1018137885,(주)진영디앤씨,2015,도입기,0,0.0,45.6,0.0,50.0,47.42,75.19
1018138657,레오버넷주식회사,2015,성숙기,0,0.0,10.5,0.0,47.06,0.12,47.89
1018138657,레오버넷주식회사,2016,성숙기,0,25.83,4.3,84.08,50.96,0.14,47.64
1018138657,레오버넷주식회사,2017,성숙기,0,39.31,0.0,83.37,40.12,0.14,48.1
1018138657,레오버넷주식회사,2018,쇠퇴기,0,80.26,100.0,88.75,54.92,0.1,48.26
1018138657,레오버넷주식회사,2019,조정기,0,82.08,28.7,100.0,51.68,0.12,48.02
1018138657,레오버넷주식회사,2020,성숙기,0,75.74,0.0,69.2,60.97,0.14,48.78
1018138657,레오버넷주식회사,2021,성숙기,0,50.36,0.0,56.61,42.46,0.19,49.15
1018138657,레오버넷주식회사,2022,성숙기,0,91.71,0.0,62.13,45.09,0.16,48.9
1018138657,레오버넷주식회사,2023,성숙기,0,97.78,0.0,62.21,42.21,0.08,48.7
1018138657,레오버넷주식회사,2024,성숙기,0,100.0,0.0,66.4,48.54,0.4,50.49
1018138768,세일여행사,2015,성숙기,0,0.0,10.5,0.0,46.38,8.95,52.03
1018138768,세일여행사,2016,성숙기,0,25.83,4.3,84.08,50.37,2.9,44.17
1018138768,세일여행사,2017,성장기,0,39.31,0.6,83.37,39.66,6.67,50.04
1018138768,세일여행사,2018,성숙기,0,80.26,0.0,88.75,55.13,4.55,47.16
1018138768,세일여행사,2019,조정기,0,82.08,28.7,100.0,50.93,8.07,49.93
1018138768,세일여행사,2023,성장기,0,97.78,26.3,62.21,40.31,0.08,48.74
1018138768,세일여행사,2024,성숙기,0,100.0,0.0,66.4,46.68,0.17,50.37
1018139904,(주)심스인베스트,2016,성장기,0,25.83,0.0,84.08,49.91,2.15,47.63
1018139904,(주)심스인베스트,2017,도입기,0,39.31,51.7,83.37,38.61,88.72,93.56
1018139904,(주)심스인베스트,2018,성숙기,1,80.26,0.0,88.75,53.73,94.37,51.3
1018140003,동출산업(주),2016,성장기,0,25.83,0.0,84.08,49.91,0.52,47.63
1018140003,동출산업(주),2017,성숙기,0,39.31,0.0,83.37,38.61,68.59,83.86
1018140003,동출산업(주),2018,성장기,0,80.26,10.1,88.75,53.73,46.34,36.5
1018140003,동출산업(주),2019,쇠퇴기,0,82.08,100.0,100.0,45.0,42.68,46.27
1018140003,동출산업(주),2020,쇠퇴기,1,75.74,100.0,69.2,59.65,74.06,65.53
1018145861,코리아인스트루먼트(주),2019,성장기,0,82.08,12.5,100.0,50.89,0.4,48.0
1018145861,코리아인스트루먼트(주),2020,성숙기,0,75.74,0.0,69.2,58.7,0.08,48.61
1018145861,코리아인스트루먼트(주),2021,성숙기,0,50.36,0.0,56.61,41.27,0.11,49.14
1018145861,코리아인스트루먼트(주),2022,성숙기,0,91.71,0.0,62.13,42.76,0.07,48.9
1018145861,코리아인스트루먼트(주),2023,성숙기,0,97.78,0.0,62.21,39.91,3.6,50.58
1018145861,코리아인스트루먼트(주),2024,성숙기,0,100.0,0.0,66.4,46.44,0.17,48.45
1018146496,주식회사아우건이앤씨,2015,성숙기,0,0.0,10.5,0.0,49.87,0.22,47.86
1018146496,주식회사아우건이앤씨,2016,성숙기,0,25.83,4.3,84.08,49.98,0.33,47.69
