사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1058785324,(주)포스패널시스템,2019,성장기,0,0.0,0.0,51.56,55.09,0.11,31.91,2020,12.2,매우 안정,
1058785324,(주)포스패널시스템,2020,성장기,0,100.0,0.0,41.3,60.49,1.85,16.7,2021,21.2,안정,
1058785324,(주)포스패널시스템,2021,성장기,0,52.6,0.0,61.29,65.04,0.12,29.48,2022,19.3,매우 안정,
1058785324,(주)포스패널시스템,2022,쇠퇴기,0,24.16,100.0,95.83,47.26,0.72,28.32,2023,26.0,위험,
1058785324,(주)포스패널시스템,2023,성숙기,0,14.88,0.0,98.09,46.87,0.36,41.95,2024,20.9,안정,
1058806971,하이리움산업(주),2022,도입기,0,24.16,84.2,95.83,51.96,0.63,27.87,2023,25.4,위험,
1058806971,하이리움산업(주),2023,도입기,0,14.88,82.2,98.09,50.64,16.59,52.12,2024,35.4,매우 위험,
1058806971,하이리움산업(주),2024,도입기,1,30.99,97.3,100.0,46.74,63.92,81.71,2025,67.7,매우 위험,
1068113006,주식회사금가,2015,성숙기,0,49.15,10.5,0.0,55.31,0.0,31.61,2016,9.8,매우 안정,
1068113006,주식회사금가,2016,성숙기,0,27.39,5.4,12.18,60.7,0.0,24.14,2017,9.1,매우 안정,
1068113006,주식회사금가,2017,성숙기,0,25.66,8.0,7.48,53.09,0.02,20.68,2018,7.8,매우 안정,
1068113006,주식회사금가,2018,조정기,0,18.76,46.2,23.57,54.38,0.48,20.51,2019,11.8,매우 안정,
1068113006,주식회사금가,2019,조정기,0,0.0,33.1,51.56,62.69,0.03,31.6,2020,14.1,매우 안정,
1068113006,주식회사금가,2020,조정기,0,100.0,34.6,41.3,49.02,0.21,15.33,2021,21.3,안정,
1068113006,주식회사금가,2021,조정기,0,52.6,36.6,61.29,61.85,0.63,31.01,2022,21.3,안정,
1068113006,주식회사금가,2022,조정기,1,24.16,32.8,95.83,49.21,1.63,28.58,2023,23.3,중립,
1068125254,장한기술(주),2015,성장기,0,49.15,0.0,0.0,56.12,0.65,31.45,2016,9.7,매우 안정,
1068125254,장한기술(주),2016,성장기,0,27.39,0.0,12.18,58.97,0.14,23.71,2017,8.8,매우 안정,
1068125254,장한기술(주),2017,성장기,0,25.66,0.0,7.48,52.57,0.11,20.63,2018,7.4,매우 안정,
1068125254,장한기술(주),2018,성숙기,0,18.76,4.0,23.57,53.68,0.05,20.07,2019,9.3,매우 안정,
1068125254,장한기술(주),2019,성숙기,0,0.0,1.7,51.56,57.08,0.02,31.9,2020,12.3,매우 안정,
1068125254,장한기술(주),2020,조정기,0,100.0,34.6,41.3,52.66,0.05,15.2,2021,21.3,안정,
1068125254,장한기술(주),2021,조정기,0,52.6,36.6,61.29,63.6,0.88,31.31,2022,21.6,안정,
1068125254,장한기술(주),2022,조정기,0,24.16,32.8,95.83,49.93,0.06,27.2,2023,22.3,중립,
