Industry,FeatureSet,N_Rows,SavePath
M03_음식료품_제조업,top65_dedup47,7325,중간결과\22_SCORE\M03_음식료품_제조업_통합_스코어_데이터.csv
M04_섬유_가죽_신발_제조업,top55_dedup45,6409,중간결과\22_SCORE\M04_섬유_가죽_신발_제조업_통합_스코어_데이터.csv
M08_화학_의약품_고무_플라스틱_제조업,top60_dedup41,17649,중간결과\22_SCORE\M08_화학_의약품_고무_플라스틱_제조업_통합_스코어_데이터.csv
M10_제1차금속산업,top65_dedup44,6458,중간결과\22_SCORE\M10_제1차금속산업_통합_스코어_데이터.csv
M11_조립금속제품_제조업,top60_dedup43,9350,중간결과\22_SCORE\M11_조립금속제품_제조업_통합_스코어_데이터.csv
M12_기타기계장비_제조업,top50_dedup38,15032,중간결과\22_SCORE\M12_기타기계장비_제조업_통합_스코어_데이터.csv
M13_전자부품_컴퓨터_전기장비_제조업,top50_dedup38,15043,중간결과\22_SCORE\M13_전자부품_컴퓨터_전기장비_제조업_통합_스코어_데이터.csv
M15_운송장비_제조업,top55_dedup38,11710,중간결과\22_SCORE\M15_운송장비_제조업_통합_스코어_데이터.csv
M17_전기_가스_수도사업,top55_dedup44,4901,중간결과\22_SCORE\M17_전기_가스_수도사업_통합_스코어_데이터.csv
M18_건설업,top55_dedup36,20497,중간결과\22_SCORE\M18_건설업_통합_스코어_데이터.csv
M19_도매및소매업,top65_dedup52,32801,중간결과\22_SCORE\M19_도매및소매업_통합_스코어_데이터.csv
M20_숙박_음식점업,top60_dedup6,3083,중간결과\22_SCORE\M20_숙박_음식점업_통합_스코어_데이터.csv
M21_운수_창고업,top55_dedup37,8912,중간결과\22_SCORE\M21_운수_창고업_통합_스코어_데이터.csv
M22_정보통신업,top65_dedup47,11054,중간결과\22_SCORE\M22_정보통신업_통합_스코어_데이터.csv
M23_부동산_임대_사업서비스업,top55_dedup41,54751,중간결과\22_SCORE\M23_부동산_임대_사업서비스업_통합_스코어_데이터.csv
M25_오락_문화_개인서비스업,top55_dedup39,4216,중간결과\22_SCORE\M25_오락_문화_개인서비스업_통합_스코어_데이터.csv
