사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1018161823,디앤씨태삼주식회사,2022,성장기,0,24.14,4.4,35.21,29.12,53.1,80.42,2023,47.3,중립,
1018161823,디앤씨태삼주식회사,2023,쇠퇴기,0,25.47,73.7,37.45,40.21,83.15,68.06,2024,72.5,위험,
1018177650,(주)천강개발,2015,도입기,0,21.97,47.4,100.0,50.38,14.31,51.97,2016,26.1,안정,
1018177650,(주)천강개발,2016,도입기,0,0.0,43.5,0.0,,72.92,84.65,2017,57.5,중립,
1018177650,(주)천강개발,2017,도입기,0,5.32,45.6,11.43,40.27,41.52,33.38,2018,37.9,안정,
1018177650,(주)천강개발,2018,도입기,0,15.77,55.9,36.52,46.18,25.38,39.87,2019,29.8,안정,
1018177650,(주)천강개발,2019,도입기,0,27.54,68.4,88.17,64.99,14.69,44.99,2020,28.2,안정,
1018177650,(주)천강개발,2020,쇠퇴기,0,100.0,100.0,55.89,64.41,15.23,49.62,2021,32.4,안정,
1018177650,(주)천강개발,2021,성장기,0,91.84,0.0,48.92,61.25,82.37,87.66,2022,75.2,위험,
1018177650,(주)천강개발,2022,성숙기,0,24.14,0.0,35.21,,30.91,24.23,2023,25.8,안정,
1018177650,(주)천강개발,2023,도입기,0,25.47,100.0,37.45,41.41,13.31,38.11,2024,23.5,안정,
1018177650,(주)천강개발,2024,조정기,0,83.61,27.3,39.08,30.47,18.87,54.71,2025,26.5,안정,
1018185960,(주)베스트도시개발,2021,성장기,0,91.84,0.0,48.92,45.92,15.35,49.56,2022,24.9,안정,
1018185960,(주)베스트도시개발,2022,도입기,0,24.14,99.8,35.21,32.61,83.22,91.74,2023,74.1,위험,
1018185960,(주)베스트도시개발,2023,도입기,0,25.47,100.0,37.45,44.44,75.54,44.62,2024,67.7,위험,
1018185960,(주)베스트도시개발,2024,도입기,1,83.61,100.0,39.08,37.34,76.19,52.24,2025,70.8,위험,
