사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급
1018636260,동원팜스주식회사,2015,성숙기,0,31.34,2.2,0.0,44.48,4.09,27.77,2016,7.9,매우 안정,
1018636260,동원팜스주식회사,2016,성숙기,0,23.88,1.3,91.17,35.14,0.04,11.1,2017,8.5,매우 안정,
1018636260,동원팜스주식회사,2017,성숙기,0,68.41,0.0,90.21,44.46,0.25,22.53,2018,11.4,매우 안정,
1018636260,동원팜스주식회사,2018,도입기,0,0.0,77.9,90.9,60.13,14.83,38.53,2019,40.3,위험,
1018636260,동원팜스주식회사,2019,쇠퇴기,1,13.14,100.0,94.17,23.81,39.81,43.34,2020,58.6,매우 위험,
1018666838,(주)삼양사,2015,성숙기,0,31.34,2.2,0.0,0.0,0.09,26.12,2016,3.6,매우 안정,
1018666838,(주)삼양사,2016,성숙기,0,23.88,1.3,91.17,5.36,0.01,14.83,2017,7.2,매우 안정,
1018666838,(주)삼양사,2017,성숙기,0,68.41,0.0,90.21,7.07,0.11,22.45,2018,9.5,매우 안정,
1018666838,(주)삼양사,2018,성숙기,0,0.0,0.0,90.9,14.49,0.04,27.6,2019,6.7,매우 안정,
1018666838,(주)삼양사,2019,성장기,0,13.14,12.2,94.17,14.46,0.03,23.35,2020,10.9,매우 안정,
1018666838,(주)삼양사,2020,성장기,0,100.0,11.8,98.27,66.48,0.03,28.0,2021,18.2,중립,AA-
1018666838,(주)삼양사,2021,성장기,0,55.99,12.7,98.54,77.77,0.64,22.78,2022,16.9,안정,AA-
1018666838,(주)삼양사,2022,성장기,0,6.9,16.5,99.12,54.2,0.06,26.38,2023,14.3,안정,AA-
1018666838,(주)삼양사,2023,성숙기,0,1.12,0.0,99.45,44.14,0.05,47.66,2024,9.6,매우 안정,
1018666838,(주)삼양사,2024,성숙기,0,12.77,0.0,100.0,51.33,0.02,45.34,2025,10.5,매우 안정,
1018687584,주식회사왓츠피데,2017,도입기,0,68.41,58.5,90.21,47.56,0.51,22.37,2018,29.2,중립,
1018687584,주식회사왓츠피데,2018,도입기,0,0.0,77.9,90.9,57.63,8.13,33.34,2019,36.5,위험,
1018687584,주식회사왓츠피데,2019,도입기,1,13.14,77.0,94.17,36.52,100.0,96.74,2020,85.1,매우 위험,
1018700153,순수본주식회사,2018,도입기,0,0.0,77.9,90.9,57.63,0.35,27.66,2019,32.4,중립,
1018700153,순수본주식회사,2019,도입기,0,13.14,77.0,94.17,36.52,11.74,32.45,2020,37.8,위험,
1018700153,순수본주식회사,2020,도입기,0,100.0,83.5,98.27,64.72,1.53,20.46,2021,40.0,위험,
1018700153,순수본주식회사,2021,조정기,0,55.99,31.1,98.54,0.0,3.82,24.13,2022,20.2,중립,
1018700153,순수본주식회사,2022,성숙기,0,6.9,0.0,99.12,0.0,0.15,23.74,2023,6.6,매우 안정,
1018700153,순수본주식회사,2023,도입기,0,1.12,90.0,99.45,0.0,23.9,60.44,2024,47.0,매우 위험,
1018700153,순수본주식회사,2024,성숙기,0,12.77,0.0,100.0,12.9,0.26,30.54,2025,7.9,매우 안정,
1028105450,삼양식품(주),2015,성숙기,0,31.34,2.2,0.0,46.48,0.18,26.01,2016,5.9,매우 안정,
1028105450,삼양식품(주),2016,성숙기,0,23.88,1.3,91.17,35.93,0.04,14.77,2017,8.7,매우 안정,
1028105450,삼양식품(주),2017,성숙기,0,68.41,0.0,90.21,46.81,0.09,22.41,2018,11.4,매우 안정,
1028105450,삼양식품(주),2018,성숙기,0,0.0,0.0,90.9,59.26,0.01,27.59,2019,8.9,매우 안정,
1028105450,삼양식품(주),2019,성숙기,0,13.14,0.0,94.17,39.58,0.06,23.4,2020,8.5,매우 안정,
1028105450,삼양식품(주),2020,성숙기,0,100.0,0.0,98.27,63.33,0.04,27.99,2021,14.5,안정,
1028105450,삼양식품(주),2021,성장기,0,55.99,12.7,98.54,72.57,0.04,22.3,2022,16.3,안정,
1028105450,삼양식품(주),2022,성장기,0,6.9,16.5,99.12,49.17,0.04,26.87,2023,14.1,매우 안정,
1028105450,삼양식품(주),2023,성장기,0,1.12,20.6,99.45,41.71,0.12,47.71,2024,15.7,안정,A/Postive
1028105450,삼양식품(주),2024,성숙기,0,12.77,0.0,100.0,48.59,0.04,45.31,2025,10.4,매우 안정,
1028141121,코카콜라음료주식회사,2015,성숙기,0,31.34,2.2,0.0,47.47,0.03,26.06,2016,5.9,매우 안정,
1028141121,코카콜라음료주식회사,2016,성숙기,0,23.88,1.3,91.17,38.13,0.03,14.91,2017,8.8,매우 안정,
1028141121,코카콜라음료주식회사,2017,성숙기,0,68.41,0.0,90.21,47.87,0.04,22.37,2018,11.5,매우 안정,
1028141121,코카콜라음료주식회사,2018,성숙기,0,0.0,0.0,90.9,58.13,0.02,27.64,2019,8.8,매우 안정,
1028141121,코카콜라음료주식회사,2019,성숙기,0,13.14,0.0,94.17,37.54,0.01,23.35,2020,8.4,매우 안정,
1028141121,코카콜라음료주식회사,2020,성숙기,0,100.0,0.0,98.27,64.08,0.01,28.0,2021,14.5,안정,
1028141121,코카콜라음료주식회사,2021,성숙기,0,55.99,0.0,98.54,73.58,0.05,22.33,2022,12.5,매우 안정,
1028141121,코카콜라음료주식회사,2022,성숙기,0,6.9,0.0,99.12,52.15,0.01,26.84,2023,9.3,매우 안정,
