산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
제1차 금속산업,C24,2015,2012,2014,3,-8.710531,30.356414,0.228317,0.8,,6.243,-10.45,-24.0237,-4.788244,-3.922287,47.99
제1차 금속산업,C24,2016,2012,2015,4,-2.207741,3.048302,0.338627,0.8,,5.2994,-2.15,-8.6514,-0.468927,-1.738814,54.62
제1차 금속산업,C24,2017,2012,2016,5,-1.441029,1.130809,0.089291,0.8,0.3441,5.5213,14.85,-6.8256,-0.470742,-0.970288,56.95
제1차 금속산업,C24,2018,2012,2017,6,2.39119,-12.761922,0.032272,0.8,0.3636,3.7607,3.47,-3.7694,0.269455,2.121734,66.34
제1차 금속산업,C24,2019,2012,2018,7,-0.045638,0.7783,2.1e-05,0.8,0.3209,1.6751,-2.1,0.7018,0.630432,-0.676071,57.84
제1차 금속산업,C24,2020,2012,2019,8,0.625763,-2.615942,0.015714,0.8,0.2701,0.8758,-7.23,-2.0679,0.819945,-0.194182,59.31
제1차 금속산업,C24,2021,2012,2020,9,1.429108,-6.474508,0.135219,0.8,0.2408,7.9402,36.03,4.8729,1.223764,0.205344,60.52
제1차 금속산업,C24,2022,2012,2021,10,5.264565,-16.193898,0.622912,0.8,0.3682,4.5847,11.92,7.9427,2.095924,3.168641,69.51
제1차 금속산업,C24,2023,2012,2022,11,5.295244,-15.458814,0.618754,0.8,0.4113,3.6538,-4.25,3.8889,2.169575,3.125669,69.38
제1차 금속산업,C24,2024,2012,2023,12,5.546231,-18.271736,0.611608,0.8,0.4304,6.1515,-3.37,15.8458,2.320631,3.2256,69.69
