iter	Logloss
0	0.6520553874
1	0.6155591488
2	0.5883909509
3	0.5558546513
4	0.5297467744
5	0.5151700359
6	0.4990042298
7	0.4879658164
8	0.4676367642
9	0.4497252804
10	0.4359824356
11	0.4274542231
12	0.4134766073
13	0.4052489777
14	0.3948485823
15	0.3903793167
16	0.382883541
17	0.377423844
18	0.3723158933
19	0.3663149871
20	0.3592813935
21	0.3544394684
22	0.3481329963
23	0.3451698676
24	0.3422649037
25	0.338115465
26	0.3334544769
27	0.3287125834
28	0.326301249
29	0.3216388272
30	0.3183375436
31	0.3154232801
32	0.313791904
33	0.3108982361
34	0.3080265281
35	0.305099737
36	0.301263291
37	0.2969443413
38	0.2944415483
39	0.29233423
40	0.2912230324
41	0.2886793277
42	0.2851585003
43	0.2839053779
44	0.2820281143
45	0.2813110153
46	0.280666969
47	0.2786945298
48	0.2734421809
49	0.2710691484
50	0.2695574469
51	0.2688225047
52	0.2678659662
53	0.2668841211
54	0.2657801956
55	0.2651361075
56	0.2638544866
57	0.2630817441
58	0.2621933489
59	0.2612879719
60	0.2604415078
61	0.2599688219
62	0.259220047
63	0.2581526288
64	0.2572658949
65	0.2567031131
66	0.2553001437
67	0.2548383993
68	0.2541722013
69	0.2530938044
70	0.2522847726
71	0.2512279289
72	0.2505438401
73	0.2485563043
74	0.2479120102
75	0.2472253681
76	0.2467133228
77	0.2458946837
78	0.2455375159
79	0.2451537789
80	0.244580656
81	0.2441409364
82	0.2432103894
83	0.2428922352
84	0.2418451538
85	0.2409123071
86	0.2401795017
87	0.2390456687
88	0.2386211027
89	0.2382691738
90	0.2377795428
91	0.2373641068
92	0.2370590421
93	0.2355125877
94	0.2347442768
95	0.2330515508
96	0.2307507347
97	0.2300311157
98	0.2297559227
99	0.2293829786
100	0.2275979031
101	0.227157624
102	0.2254935684
103	0.225200815
104	0.2244881484
105	0.2238035862
106	0.2231631325
107	0.222221121
108	0.221399432
109	0.2197257606
110	0.2190381159
111	0.2185252161
112	0.2178120872
113	0.2174853136
114	0.217157905
115	0.2169394606
116	0.2163314673
117	0.2160483944
118	0.2157320478
119	0.214648883
120	0.2137895285
121	0.2128777733
122	0.2125765874
123	0.2123502543
124	0.2118252287
125	0.2115493701
126	0.2111237605
127	0.2106830676
128	0.2104839459
129	0.2099328388
130	0.2096171922
131	0.2092097773
132	0.2089323861
133	0.2084588688
134	0.2082286997
135	0.2078519865
136	0.2076755864
137	0.207380558
138	0.2070106247
139	0.2057320784
140	0.2054940434
141	0.2052165409
142	0.2045718407
143	0.2041657208
144	0.2036938864
145	0.203483383
146	0.2032649007
147	0.2030328451
148	0.2026367711
149	0.2023147932
150	0.2018992662
151	0.2015073139
152	0.2012805789
153	0.2010720493
154	0.2007696004
155	0.19906546
156	0.1985701124
157	0.1984302289
158	0.1961360468
159	0.195599278
160	0.1952568606
161	0.1948155997
162	0.1946500045
163	0.1942920591
164	0.1941067967
165	0.193698107
166	0.1932916799
167	0.1929603494
168	0.1925557643
169	0.1923024483
170	0.1920016208
171	0.1916602366
172	0.1912609894
173	0.1910582424
174	0.1906021838
175	0.1900316935
176	0.1885545017
177	0.1880890427
178	0.1874560898
179	0.1871635738
180	0.1869700004
181	0.1866184066
182	0.1860927672
183	0.185820646
184	0.1854396885
185	0.1844844196
186	0.1838941936
187	0.1835926182
188	0.1833095743
189	0.1829132814
190	0.1825099009
191	0.1821159509
192	0.1817337684
193	0.1812819001
194	0.1810239788
195	0.1807314679
196	0.1802533576
197	0.179980413
198	0.1797671178
199	0.1795334268
200	0.1790796424
201	0.1787410086
202	0.1782731413
203	0.1778131288
204	0.177454568
205	0.1769906772
206	0.1763765361
207	0.1744392521
208	0.1740641936
209	0.1733588945
210	0.1729654147
211	0.1716624817
212	0.1713299191
213	0.1710632286
214	0.1707953235
215	0.1688358069
216	0.1675918857
217	0.1671308242
218	0.1668452084
219	0.1666229392
220	0.165885453
221	0.1655132221
222	0.1652805778
223	0.1648830086
224	0.1645026934
225	0.1637798688
226	0.1622109355
227	0.1617274202
228	0.1612697634
229	0.1609331912
230	0.160509175
231	0.1602071295
232	0.1598049358
233	0.1593372273
234	0.1589625834
235	0.1587137684
236	0.1575907296
237	0.1573041649
238	0.1562312756
239	0.1549671332
240	0.1539635953
241	0.1533827563
242	0.1530187436
243	0.1525941313
244	0.1519754061
245	0.1516340801
246	0.151266535
247	0.1507644225
248	0.1503596185
249	0.1499508443
250	0.1496726063
251	0.1494075708
252	0.1479458039
253	0.1475581375
254	0.147310687
255	0.146554827
256	0.1458641704
257	0.1455868474
258	0.1450981526
259	0.1446139562
260	0.1441254861
261	0.1438700472
262	0.1435834066
263	0.143268925
264	0.1429864897
265	0.1428434918
266	0.1420129634
267	0.1417849104
268	0.1415521664
269	0.1410982441
270	0.1406707632
271	0.1404320644
272	0.1401872414
273	0.1398568124
274	0.1395059044
275	0.1388401173
276	0.1384871256
277	0.1382306859
278	0.1379429974
279	0.137714417
280	0.137286904
281	0.1370531306
282	0.1368402317
283	0.1365293329
284	0.1361951369
285	0.1359496256
286	0.1357934823
287	0.135222465
288	0.1349650523
289	0.1346025436
290	0.1342076894
291	0.1339970387
292	0.1334532264
293	0.1333000224
294	0.13236075
295	0.1319511791
296	0.1315715746
297	0.1312492668
298	0.1310619573
299	0.1309294987
