,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_Precision,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_Precision,Gap_PR_AUC,Gap_ROC_AUC
1,top55_dedup38,lasso_features_top55--39.csv,39,ClassWeight,-,XGBoost,0.4587,0.4899135446685879,0.551948051948052,0.4404145077720207,0.4026474425318077,0.9456605106903712,-0.1804948373004821,0.1253040290461212,-0.1196066572005458,-0.0076004081221884,-0.0384467127194941
2,top60_dedup43,lasso_features_top60--41.csv,41,ClassWeight,-,LightGBM,0.4572,0.4738154613466334,0.6168831168831169,0.3846153846153846,0.3834163435429897,0.9420561190634182,-0.1864194277552923,-0.0633117883450218,-0.1243624710194477,-0.0449156274016974,-0.0497517732411086
3,top50_dedup38,lasso_features_top50--37.csv,37,ClassWeight,-,XGBoost,0.4548,0.4696132596685083,0.551948051948052,0.4086538461538461,0.4070932431048286,0.9469553339825404,-0.1670431109477173,0.1325787824007364,-0.1727253102176139,-0.0280543526501995,-0.0393807486761299
4,top65_dedup43,lasso_features_top65--44.csv,44,CTGAN,0.1,LightGBM,0.4466,0.4202020202020202,0.6753246753246753,0.3049853372434017,0.3709088394298303,0.8806069511112644,-0.2424978418849716,-0.5104792910524415,-0.0188742261322906,-0.0342351505603312,0.0286886183457956
5,top55_dedup38,lasso_features_top55--39.csv,39,ClassWeight,-,LightGBM,0.4442,0.4568527918781725,0.5844155844155844,0.375,0.3804888774052542,0.941937624419376,-0.1699704364694264,-0.0373438854322815,-0.0935216618502378,-0.0216262589208541,-0.0415364684725871
6,top60_dedup43,lasso_features_top60--41.csv,41,ClassWeight,-,XGBoost,0.4398,0.4557640750670241,0.551948051948052,0.3881278538812785,0.3854415756724281,0.9448655193512528,-0.1521580748005575,0.1333998413810798,-0.1515298911190651,-0.014179176654639,-0.0423860194305958
7,top65_dedup43,lasso_features_top65--44.csv,44,CTGAN,0.1,XGBoost,0.4318,0.4436363636363636,0.3961038961038961,0.5041322314049587,0.439071708422182,0.9330871517334688,-0.1344484704449395,0.0016676979834644,0.0032788083965323,-0.065608235478748,-0.0311033078348756
8,top50_dedup38,lasso_features_top50--37.csv,37,CTGAN,0.1,LightGBM,0.4181,0.4528301886792453,0.3896103896103896,0.5405405405405406,0.4087446551047713,0.9339597032032332,-0.1782527267872786,0.0790523756952615,-0.289557891261905,-0.1141157591892497,-0.0481491112937041
9,top50_dedup38,lasso_features_top50--37.csv,37,ClassWeight,-,RandomForest,0.4178,0.3212192262602579,0.8896103896103896,0.1959942775393419,0.2870802427133617,0.9113573884642232,-0.030246085972157,-0.0081509113424346,-0.0187860040920287,-0.0307412437946893,-0.0221730194127103
10,top65_dedup43,lasso_features_top65--44.csv,44,ClassWeight,-,XGBoost,0.4103,0.4210526315789473,0.3636363636363636,0.5,0.4224692170132152,0.9461344892665398,-0.1023347432112188,0.2762221029131796,-0.2662584192322538,-0.0525980415977241,-0.0504662573767811
