,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_Precision,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_Precision,Gap_PR_AUC,Gap_ROC_AUC
1,top60_dedup41,lasso_features_top60--41.csv,41,CTGAN,0.2,LightGBM,0.6882,0.6545454545454545,0.6741573033707865,0.6360424028268551,0.7140967618085475,0.9702097990746024,-0.3628054503148605,-0.3991488866848732,-0.3111876690872496,-0.4178602910778446,-0.0652027760273272
2,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.1,LightGBM,0.6644,0.6421663442940039,0.6217228464419475,0.664,0.6948769527723315,0.972614095472502,-0.3158546281694065,-0.3079051058150414,-0.3033936149036246,-0.3770054105463905,-0.0631447109266409
3,top60_dedup41,lasso_features_top60--41.csv,41,CTGAN,0.1,LightGBM,0.6627,0.639344262295082,0.5842696629213483,0.7058823529411765,0.708064498871492,0.9681836665947372,-0.3552275935058256,-0.3316625580639014,-0.3393713154696087,-0.4068118877410956,-0.075670185727848
4,top60_dedup41,lasso_features_top60--41.csv,41,CTGAN,0.2,XGBoost,0.6539,0.622680412371134,0.5655430711610487,0.6926605504587156,0.7080003317090758,0.9710159790279264,-0.3202678749756296,-0.2781099999762675,-0.2971611895338227,-0.3704583667848934,-0.0340537549963021
5,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.2,LightGBM,0.5899,0.577962577962578,0.5205992509363296,0.6495327102803738,0.624685202464021,0.9674451430862592,-0.2489253243558449,-0.1833389031749558,-0.2882470966691788,-0.2833721835006664,-0.0366486591872997
6,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.1,XGBoost,0.5552,0.5318181818181819,0.4382022471910112,0.6763005780346821,0.6159393626545671,0.9634534128403388,-0.2662484616937929,-0.1888891040338188,-0.3264732318915465,-0.2890279442407718,-0.0335153654146759
7,top60_dedup41,lasso_features_top60--41.csv,41,CTGAN,0.1,XGBoost,0.5106,0.47,0.352059925093633,0.706766917293233,0.5983012449322038,0.957830806187075,-0.1912981142919271,-0.0670667058186079,-0.3387230502651198,-0.2718536767204236,-0.0240536007039451
8,top65_dedup44,lasso_features_top65--44.csv,44,CTGAN,0.2,XGBoost,0.4717,0.4395061728395061,0.3333333333333333,0.644927536231884,0.5463145063814263,0.9576805376622064,-0.1660855864181786,-0.0841753621815181,-0.242351845778254,-0.1886359445714767,-0.011848088119448
9,top55_dedup39,lasso_features_top55--39.csv,39,ClassWeight,-,LightGBM,0.4646,0.4453665283540802,0.602996254681648,0.3530701754385965,0.4208399983465175,0.9317873479599446,-0.058307290393845,0.0329203991539525,-0.0653261253691679,-0.0685529078297617,0.0082415626999103
10,top55_dedup39,lasso_features_top55--39.csv,39,ClassWeight,-,XGBoost,0.4571,0.4565537555228277,0.5805243445692884,0.3762135922330097,0.4079776448406217,0.940329152165042,-0.0578545694316665,0.0268372329017282,-0.070234531773785,-0.0498716338952248,-0.0007583356584053
