,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_PR_AUC,Gap_ROC_AUC
1,top55_dedup36,lasso_features_top55--36.csv,36,ClassWeight,-,RandomForest,0.5622,0.350406893250359,0.8840579710144928,0.5604602928278315,0.9139598828366396,-0.0571987268011044,-0.0124287566830726,-0.228572730640419,0.0096456951833276
2,top60_dedup42,lasso_features_top60--42.csv,42,ClassWeight,-,RandomForest,0.5573,0.3401039206424185,0.8695652173913043,0.5627119526909891,0.9140207869954192,-0.0493238791019769,-0.0049926963665773,-0.2468551961343615,0.006867033163753
3,top65_dedup45,lasso_features_top65--45.csv,45,ClassWeight,-,RandomForest,0.554,0.3403263403263403,0.8816425120772947,0.5512140592427306,0.9148255339467598,-0.0439767584624904,-0.0119938131455075,-0.2351501770372199,0.0085650961201568
4,top60_dedup42,lasso_features_top60--42.csv,42,BorderlineSMOTE,0.2,LightGBM,0.5242,0.4880239520958084,0.393719806763285,0.5980210186988602,0.9512052120967028,-0.1541699217338233,-0.0395996295548725,-0.2982657253849815,-0.0403823082600911
5,top60_dedup42,lasso_features_top60--42.csv,42,BorderlineSMOTE,0.1,LightGBM,0.5178,0.4658901830282861,0.3381642512077294,0.6208676525403815,0.9516871670065118,-0.2135527969711734,-0.1147441092581757,-0.3347205334726607,-0.0516529656862507
6,top65_dedup45,lasso_features_top65--45.csv,45,BorderlineSMOTE,0.1,LightGBM,0.5022,0.4383561643835616,0.3091787439613526,0.6176427021093217,0.9524476569358062,-0.2150964149004031,-0.0847524941490734,-0.3519858679027063,-0.0525952784744049
7,top55_dedup36,lasso_features_top55--36.csv,36,ClassWeight,-,LogisticRegression,0.4883,0.3528138528138528,0.7874396135265701,0.4499521696499859,0.8800336272162008,-0.1476702253015143,-0.1526115290293679,-0.2346078837059887,-0.01796967962354
8,top55_dedup36,lasso_features_top55--36.csv,36,BorderlineSMOTE,0.1,LogisticRegression,0.4729,0.459051724137931,0.5144927536231884,0.4645081088912435,0.8832877364197937,-0.2451757214337804,-0.2906899061438702,-0.2411475744895243,-0.0247995188040491
9,top55_dedup36,lasso_features_top55--36.csv,36,,-,LogisticRegression,0.4711,0.4842615012106537,0.4830917874396135,0.4583855617575179,0.884719390178839,-0.3277196614390003,-0.333184382752797,-0.2351878899181133,-0.0254352558818387
10,top55_dedup36,lasso_features_top55--36.csv,36,BorderlineSMOTE,0.1,LightGBM,0.4659,0.4343598055105348,0.323671497584541,0.5417099503444989,0.9414540502483671,-0.1584519302483658,-0.0693055775568563,-0.2398145434616921,-0.0432811499395856
