,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_PR_AUC,Gap_ROC_AUC
1,top60_dedup6,lasso_features_top60--6.csv,6,ClassWeight,-,RandomForest,0.3382,0.3245283018867924,0.5180722891566265,0.2744975634048872,0.7653729672789519,0.020817804584718,0.2763817578382553,-0.0061314471416518,0.0094513529487596
2,top65_dedup6,lasso_features_top65--6.csv,6,ClassWeight,-,RandomForest,0.3382,0.3245283018867924,0.5180722891566265,0.2744975634048872,0.7653729672789519,0.020817804584718,0.2763817578382553,-0.0061314471416518,0.0094513529487596
3,top55_dedup6,lasso_features_top55--6.csv,6,ClassWeight,-,RandomForest,0.3382,0.3245283018867924,0.5180722891566265,0.2744975634048872,0.7653729672789519,0.020817804584718,0.2763817578382553,-0.0061314471416518,0.0094513529487596
4,top55_dedup6,lasso_features_top55--6.csv,6,ClassWeight,-,XGBoost,0.3227,0.3421052631578947,0.4698795180722891,0.2522474200305152,0.7635130686681151,-0.0207940445701193,0.1248323204689504,-0.0213701080302507,-0.0276839846498276
5,top65_dedup6,lasso_features_top65--6.csv,6,ClassWeight,-,XGBoost,0.3227,0.3421052631578947,0.4698795180722891,0.2522474200305152,0.7635130686681151,-0.0207940445701193,0.1248323204689504,-0.0213701080302507,-0.0276839846498276
6,top60_dedup6,lasso_features_top60--6.csv,6,ClassWeight,-,XGBoost,0.3227,0.3421052631578947,0.4698795180722891,0.2522474200305152,0.7635130686681151,-0.0207940445701193,0.1248323204689504,-0.0213701080302507,-0.0276839846498276
7,top60_dedup6,lasso_features_top60--6.csv,6,ClassWeight,-,LightGBM,0.3116,0.3206106870229007,0.5060240963855421,0.2285127581272417,0.7630851273948253,0.0155312898580814,0.1576966555384765,-0.000169308014028,-0.0362138481323053
8,top55_dedup6,lasso_features_top55--6.csv,6,ClassWeight,-,LightGBM,0.3116,0.3206106870229007,0.5060240963855421,0.2285127581272417,0.7630851273948253,0.0155312898580814,0.1576966555384765,-0.000169308014028,-0.0362138481323053
9,top65_dedup6,lasso_features_top65--6.csv,6,ClassWeight,-,LightGBM,0.3116,0.3206106870229007,0.5060240963855421,0.2285127581272417,0.7630851273948253,0.0155312898580814,0.1576966555384765,-0.000169308014028,-0.0362138481323053
10,top65_dedup6,lasso_features_top65--6.csv,6,BorderlineSMOTE,0.2,XGBoost,0.2428,0.2519685039370078,0.1927710843373494,0.2574012045014652,0.7618342221344394,-0.068742869707421,-0.0189309431650848,-0.0355046649426424,-0.0403199742661953
