사업자등록번호,회사명,테스트_연도,훈련_끝,beta_i,beta_i_raw,beta_sign,beta_quality,beta_src,S2,r2,n_obs,granger_p
1018139656,메가플랙슨공업(주),2015,2014,-161.4782325848701,-269.3510716007715,-1.0,low,ols_shrunk,0.9809296781883194,0.9420217453536197,3.0,
1048163193,(주)동국에스엔씨,2015,2014,-3.981068661412763,-6.85579839500924,-1.0,low,ols_shrunk,0.4302741358760429,0.006172336656718347,3.0,
1048607667,주식회사한신비텍,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1058195188,신동아정공,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1068113006,주식회사금가,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1068125254,장한기술(주),2015,2014,4.177543880825662,6.7418891753881365,1.0,low,ols_shrunk,0.432657926102503,0.07048845426095507,3.0,
1068161298,유진크레베스주식회사,2015,2014,-49.83014186541339,-83.27092040167696,-1.0,low,ols_shrunk,0.8939213349225268,0.9114229040385011,3.0,
1068175491,한성유엘산업(주),2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1078112086,삼진로푸(주),2015,2014,-13.313976589100763,-22.410644941155905,-1.0,low,ols_shrunk,0.6209773539928486,0.45113004315558414,3.0,
1078122925,주식회사대진,2015,2014,16.83775287999013,27.84223750732892,1.0,low,ols_shrunk,0.6686531585220501,0.9956262520010188,3.0,
1078136472,오제이씨(주),2015,2014,3.5479895836404722,5.69263201341282,1.0,low,ols_shrunk,0.42193087008343266,0.035736685635402665,3.0,
1078146795,주식회사신원에스앤티,2015,2014,38.06001518752798,63.212674686558664,1.0,low,ols_shrunk,0.8641239570917759,0.8980933333026188,3.0,
1078150625,(주)삼우기초기술,2015,2014,35.66941339644562,59.22833836808806,1.0,low,ols_shrunk,0.8533969010727056,0.4208700234325041,3.0,
1078601717,(주)누리비스타,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1078610443,(주)영원코퍼레이션,2015,2014,10.06866884093443,16.56043077556942,1.0,low,ols_shrunk,0.5518474374255066,0.8894324369101222,3.0,
1078611990,(주)두호아이엔에스,2015,2014,63.32488239474609,105.32078669858885,1.0,low,ols_shrunk,0.929678188319428,0.8048617614533965,3.0,
1078677594,동인중공업주식회사,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1098168363,(주)대흥에프에스씨복합창,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1098617840,(주)케일럼,2015,2014,-30.129991622161082,-50.43733666292311,-1.0,low,ols_shrunk,0.8152562574493445,0.5753823266527073,3.0,
1128136590,주식회사다인정공,2015,2014,-5.254288734883919,-8.977831850794498,-1.0,low,ols_shrunk,0.47079856972586415,0.10879975993620628,3.0,
1138100023,(주)도루코,2015,2014,-16.793327628665878,-28.2095633404311,-1.0,low,ols_shrunk,0.66507747318236,0.43042243733799246,3.0,
1138113362,(주)삼양테크,2015,2014,10.543345327264285,17.351558252785843,1.0,low,ols_shrunk,0.567342073897497,0.65819544648799,3.0,
1138113590,(주)신성강건,2015,2014,14.53289275817355,24.00080397096795,1.0,low,ols_shrunk,0.6412395709177592,0.182145752981151,3.0,
1138117524,(주)대한볼트,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1138126611,삼부선재주식회사,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1138149287,대진볼트공업(주),2015,2014,0.03272260581526362,-0.16614628296252792,1.0,low,ols_shrunk,0.0011918951132300357,0.0007058443206986453,3.0,
1138157564,(주)동진엠아이,2015,2014,38.14247402309898,63.35010607917699,1.0,low,ols_shrunk,0.865315852205006,0.9618309446823058,3.0,
1138165083,주식회사한립특수강,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1138186491,범아기계공업주식회사,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1138602327,(주)에이치와이티씨,2015,2014,-18.482579565400616,-31.024983234988994,-1.0,low,ols_shrunk,0.6924910607866508,0.36490598970358523,3.0,
1138615346,(주)풍원정공,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1148165558,성화산업주식회사,2015,2014,-24.159006737675977,-40.485695188781264,-1.0,low,ols_shrunk,0.767580452920143,0.07247993712020018,3.0,
1148179542,한국씨앤오테크(주),2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1148192813,뉴월드인텍(주),2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1168105575,세왕금속공업주식회사,2015,2014,-2.130142720569892,-3.770921826937788,-1.0,low,ols_shrunk,0.39690107270560193,0.09216136129051844,3.0,
1168115957,한국샌드빅주식회사,2015,2014,14.517799376730638,23.975648335229764,1.0,low,ols_shrunk,0.6400476758045291,0.9946780917624191,3.0,
1168122797,영화엔지니어링,2015,2014,-30.985799294967816,-51.86368278426766,-1.0,low,ols_shrunk,0.8188319427890346,0.7744827719878656,3.0,
1178155215,밀레시스텍(주),2015,2014,-8.554027916874883,-14.477397154112774,-1.0,low,ols_shrunk,0.5268176400476758,0.7042612349541989,3.0,
1178164320,(주)솔리티,2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
1188102953,(주)유진건철,2015,2014,22.458607795647033,37.210329033423754,1.0,low,ols_shrunk,0.7461263408820024,0.41869678341707184,3.0,
1188103646,(주)영등포특수강,2015,2014,-4.656706266743697,-7.981861070560796,-1.0,low,ols_shrunk,0.4410011918951132,0.7979156522368973,3.0,
1188114181,(주)경수제철건설,2015,2014,-76.78082164944756,-128.18872004173392,-1.0,low,ols_shrunk,0.9487485101311085,0.9997994064109555,3.0,
1198101578,(주)와이엠,2015,2014,-8.88783166092821,-15.033736727534984,-1.0,low,ols_shrunk,0.5351609058402861,0.9022677138847767,3.0,
1198115387,형성산업(주),2015,2014,0.33102593898195093,,1.0,,global_median,0.1865315852205006,,,
