산업명,연도,F1,F2,F3,F4,F5,최종점수
조립금속제조업,2015,-0.004035475242470797,0.08180404074412484,6.38703154496279,-1.050215556875571,19.873085295969183,5.057533969911612
조립금속제조업,2016,-0.0007560462425441686,0.06131602837362804,1.0509160520780192,-2.323589606084809,20.521500218019433,3.861877329228746
조립금속제조업,2017,0.005893227408747745,0.07092233630700212,0.5681522167999169,-2.198358195065694,20.38713294028596,3.7667485051471865
조립금속제조업,2018,0.006518595230922505,0.0604423453008856,-0.711474082928296,-4.547774251618691,22.12887018718979,3.3873165586349225
조립금속제조업,2019,-0.0008075255606676615,0.0889869764803744,-6.129364184621609,-1.9070198995475494,19.729374284445903,2.3562339302392905
조립금속제조업,2020,-0.01172319905064969,0.16363055033347684,21.16326230200278,-2.8287776955914623,20.776530310956048,7.852584453730039
조립금속제조업,2021,-0.00028396319325383473,0.13429427767789515,9.476118549546248,-2.654230481274304,19.280899641421172,5.247359604835552
조립금속제조업,2022,-0.0061556244080028105,0.11357059056743318,1.8526291747812387,-1.3109868374866949,17.770490631867425,3.68390958706428
조립금속제조업,2023,-0.014807192927518628,0.14129458933856903,0.23815361996023476,-0.39710027630708566,15.902937768702955,3.174095701753431
조립금속제조업,2024,-0.006863675794756358,0.12580654351916026,2.862545852408969,-0.19091897365160548,17.50689560257313,4.05949306981098
