회계년도,부실여부,컬럼,전체 행 수,이상치_행수_1%,이상치_비율_1%,이상치_행수_2%,이상치_비율_2%,이상치_행수_3%,이상치_비율_3%,이상치_행수_4%,이상치_비율_4%,이상치_행수_5%,이상치_비율_5%
2012,정상,비유동자산회전율_diff,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,비유동자산회전율_ratio,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,유형자산회전율_diff,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,유형자산회전율_ratio,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,자기자본회전율_diff,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,자기자본회전율_ratio,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,투하자본회전율_diff,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,투하자본회전율_ratio,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,매출채권회전율_diff,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,매출채권회전율_ratio,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,매출채권회수기간_diff,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,매출채권회수기간_ratio,2175,41,1.89,63,2.9,85,3.91,106,4.87,128,5.89
2012,정상,재고자산회전율_diff,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,재고자산회전율_ratio,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,재고자산보유기간_diff,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,재고자산보유기간_ratio,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,매입채무회전율_diff,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,매입채무회전율_ratio,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,매입채무지급기간_diff,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,매입채무지급기간_ratio,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,현금전환주기_CCC_diff,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,현금전환주기_CCC_ratio,2175,40,1.84,62,2.85,84,3.86,105,4.83,127,5.84
2012,정상,영업CF_유동부채_diff,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,영업CF_유동부채_ratio,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,영업CF_총부채_diff,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,영업CF_총부채_ratio,2175,42,1.93,64,2.94,86,3.95,107,4.92,129,5.93
2012,정상,매출액증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,매출액증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,영업이익증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,영업이익증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,순이익증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,순이익증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,EBITDA증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,EBITDA증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,총자산증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,총자산증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,유형자산증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,유형자산증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,자기자본증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,자기자본증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,부채증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,부채증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,영업현금흐름증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,영업현금흐름증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,FCF증가율_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,FCF증가율_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,ROA변화_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,ROA변화_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,영업이익률변화_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,영업이익률변화_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,부채비율변화_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,부채비율변화_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,유동비율변화_diff,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,유동비율변화_ratio,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,업력_diff,2175,22,1.01,69,3.17,89,4.09,146,6.71,174,8.0
2012,정상,업력_ratio,2175,22,1.01,69,3.17,89,4.09,146,6.71,174,8.0
2012,정상,매출액영업이익률_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,매출액영업이익률_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,EBIT대매출액_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,EBIT대매출액_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,EBITDA대매출액_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,EBITDA대매출액_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,매출원가대매출액_diff_industry,2175,22,1.01,44,2.02,132,6.07,174,8.0,218,10.02
2012,정상,매출원가대매출액_ratio_industry,2175,22,1.01,44,2.02,132,6.07,174,8.0,218,10.02
2012,정상,매출액순이익률_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,매출액순이익률_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,사내유보율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,사내유보율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,금융비용대매출액_diff_industry,2175,22,1.01,44,2.02,66,3.03,87,4.0,109,5.01
2012,정상,금융비용대매출액_ratio_industry,2175,22,1.01,44,2.02,66,3.03,87,4.0,109,5.01
2012,정상,자기자본비율_diff_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,자기자본비율_ratio_industry,2175,44,2.02,88,4.05,132,6.07,174,8.0,218,10.02
2012,정상,부채비율_diff_industry,2175,43,1.98,65,2.99,87,4.0,108,4.97,218,10.02
2012,정상,부채비율_ratio_industry,2175,43,1.98,65,2.99,87,4.0,108,4.97,218,10.02
