Method,SMOTE_Ratio,Feature_Set,Model,Num_Features,Test_Accuracy,Test_ROC_AUC,Test_PR_AUC,Test_F1,Test_Precision,Test_Recall,Train_Accuracy,Train_ROC_AUC,Train_PR_AUC,Train_F1,Train_Precision,Train_Recall
BorderlineSMOTE,1.0,top25,XGBoost,25,0.921,0.9499,0.5672,0.4071,0.2862,0.7048,0.9374,0.9772,0.7176,0.5143,0.3628,0.8834
BorderlineSMOTE,1.0,top25,LightGBM,25,0.9196,0.9506,0.564,0.4095,0.2853,0.7247,0.9375,0.9782,0.724,0.5154,0.3634,0.8863
BorderlineSMOTE,1.0,top30,LogisticRegression,30,0.8574,0.8979,0.3016,0.3009,0.1855,0.7974,0.8795,0.9267,0.3991,0.3335,0.2104,0.8028
BorderlineSMOTE,1.0,top30,RandomForest,30,0.8406,0.9341,0.3837,0.3026,0.1819,0.8987,0.8604,0.947,0.4628,0.3256,0.1989,0.8976
BorderlineSMOTE,1.0,top30,XGBoost,30,0.9235,0.9449,0.5525,0.4086,0.2908,0.6872,0.9601,0.9884,0.8586,0.6285,0.4827,0.9005
BorderlineSMOTE,1.0,top30,LightGBM,30,0.914,0.9197,0.4698,0.3694,0.2574,0.6542,0.9646,0.9913,0.8893,0.6624,0.5159,0.9251
BorderlineSMOTE,1.0,top35,LogisticRegression,35,0.8591,0.8891,0.2947,0.3005,0.1857,0.7863,0.8798,0.9269,0.3974,0.3334,0.2105,0.8009
BorderlineSMOTE,1.0,top35,RandomForest,35,0.836,0.9313,0.3341,0.3012,0.1801,0.9185,0.8569,0.9474,0.4225,0.3292,0.1997,0.9355
BorderlineSMOTE,1.0,top35,XGBoost,35,0.9232,0.9472,0.5624,0.4078,0.29,0.6872,0.9636,0.9903,0.8754,0.6515,0.5082,0.9071
BorderlineSMOTE,1.0,top35,LightGBM,35,0.9213,0.9273,0.4858,0.386,0.2757,0.6432,0.9664,0.9921,0.8943,0.6738,0.5299,0.9251
