Method,SMOTE_Ratio,Feature_Set,Model,Num_Features,Accuracy,ROC_AUC,PR_AUC,F1,Precision,Recall
BorderlineSMOTE,0.7,VIF10,SVM,14,0.8517,0.8062,0.1584,0.2181,0.1368,0.5374
BorderlineSMOTE,1.0,VIF10,LogisticRegression,14,0.7701,0.7912,0.2149,0.1919,0.111,0.7093
BorderlineSMOTE,1.0,VIF10,RandomForest,14,0.8459,0.8767,0.3224,0.264,0.1617,0.7181
BorderlineSMOTE,1.0,VIF10,XGBoost,14,0.9113,0.844,0.4039,0.3109,0.2218,0.5198
BorderlineSMOTE,1.0,VIF10,LightGBM,14,0.904,0.8341,0.3707,0.3028,0.2101,0.5419
BorderlineSMOTE,1.0,VIF10,SVM,14,0.8301,0.8029,0.1591,0.2035,0.1242,0.5639
CTGAN,0.2,VIF10,LogisticRegression,14,0.8929,0.6966,0.1579,0.197,0.1384,0.3414
CTGAN,0.2,VIF10,RandomForest,14,0.9491,0.7531,0.3345,0.3213,0.3302,0.3128
CTGAN,0.2,VIF10,XGBoost,14,0.911,0.8088,0.3993,0.2847,0.2061,0.4604
CTGAN,0.2,VIF10,LightGBM,14,0.8241,0.7993,0.3556,0.1802,0.1098,0.5022
CTGAN,0.2,VIF10,SVM,14,0.8951,0.7734,0.146,0.1951,0.1384,0.3304
CTGAN,0.3,VIF10,LogisticRegression,14,0.9363,0.7521,0.2004,0.2882,0.2529,0.3348
CTGAN,0.3,VIF10,RandomForest,14,0.9441,0.8108,0.3346,0.3157,0.2986,0.3348
CTGAN,0.3,VIF10,XGBoost,14,0.9682,0.878,0.4716,0.4275,0.6965,0.3084
CTGAN,0.3,VIF10,LightGBM,14,0.9487,0.8599,0.4212,0.3808,0.3556,0.4097
CTGAN,0.3,VIF10,SVM,14,0.9205,0.8097,0.1609,0.2556,0.1998,0.3546
CTGAN,0.5,VIF10,LogisticRegression,14,0.826,0.7376,0.1622,0.1758,0.1075,0.4824
CTGAN,0.5,VIF10,RandomForest,14,0.9535,0.8159,0.342,0.3163,0.3639,0.2797
CTGAN,0.5,VIF10,XGBoost,14,0.9402,0.8136,0.4004,0.357,0.3043,0.4317
CTGAN,0.5,VIF10,LightGBM,14,0.8938,0.8065,0.3573,0.2555,0.1749,0.4736
CTGAN,0.5,VIF10,SVM,14,0.8283,0.767,0.2168,0.2012,0.1225,0.5617
CTGAN,0.7,VIF10,LogisticRegression,14,0.8968,0.6415,0.1729,0.1881,0.1349,0.3106
CTGAN,0.7,VIF10,RandomForest,14,0.9504,0.7712,0.3156,0.319,0.3383,0.3018
CTGAN,0.7,VIF10,XGBoost,14,0.9534,0.835,0.4216,0.3982,0.3957,0.4009
CTGAN,0.7,VIF10,LightGBM,14,0.936,0.8332,0.3834,0.344,0.2841,0.4361
CTGAN,0.7,VIF10,SVM,14,0.8654,0.7511,0.14,0.2044,0.1323,0.4493
CTGAN,1.0,VIF10,LogisticRegression,14,0.8108,0.7473,0.1996,0.1659,0.0999,0.489
CTGAN,1.0,VIF10,RandomForest,14,0.9627,0.7346,0.3363,0.351,0.5312,0.2621
CTGAN,1.0,VIF10,XGBoost,14,0.9602,0.8475,0.4318,0.411,0.4767,0.3612
CTGAN,1.0,VIF10,LightGBM,14,0.9419,0.8366,0.3582,0.364,0.3146,0.4317
CTGAN,1.0,VIF10,SVM,14,0.819,0.7713,0.1557,0.1916,0.1157,0.5573
