회사명,사업자등록번호,회계년도
엘브이엠씨홀딩스(주),0008110041,2012
엘브이엠씨홀딩스(주),0008110041,2013
엘브이엠씨홀딩스(주),0008110041,2014
엘브이엠씨홀딩스(주),0008110041,2015
엘브이엠씨홀딩스(주),0008110041,2016
엘브이엠씨홀딩스(주),0008110041,2017
엘브이엠씨홀딩스(주),0008110041,2018
엘브이엠씨홀딩스(주),0008110041,2019
엘브이엠씨홀딩스(주),0008110041,2020
파이온엑스,0008120009,2012
(주)신화사,1018105122,2012
서원물산(주),1018106586,2012
서원물산(주),1018106586,2013
서원물산(주),1018106586,2014
서원물산(주),1018106586,2015
현대코퍼레이션(주),1018116269,2012
현대코퍼레이션(주),1018116269,2013
현대코퍼레이션(주),1018116269,2014
현대코퍼레이션(주),1018116269,2015
현대코퍼레이션(주),1018116269,2016
현대코퍼레이션(주),1018116269,2017
현대코퍼레이션(주),1018116269,2018
현대코퍼레이션(주),1018116269,2019
현대코퍼레이션(주),1018116269,2020
현대코퍼레이션(주),1018116269,2021
주식회사승전상사,1018116478,2012
주식회사승전상사,1018116478,2013
주식회사승전상사,1018116478,2014
주식회사승전상사,1018116478,2015
주식회사승전상사,1018116478,2016
주식회사승전상사,1018116478,2017
주식회사승전상사,1018116478,2018
주식회사승전상사,1018116478,2019
주식회사승전상사,1018116478,2020
에이치디엑스(주),1018117953,2012
에이치디엑스(주),1018117953,2013
에이치디엑스(주),1018117953,2014
에이치디엑스(주),1018117953,2015
에이치디엑스(주),1018117953,2016
에이치디엑스(주),1018117953,2017
에이치디엑스(주),1018117953,2018
에이치디엑스(주),1018117953,2019
에이치디엑스(주),1018117953,2020
에이치디엑스(주),1018117953,2021
세기P&C(주),1018118781,2012
세기P&C(주),1018118781,2013
세기P&C(주),1018118781,2014
세기P&C(주),1018118781,2015
세기P&C(주),1018118781,2016
세기P&C(주),1018118781,2017
세기P&C(주),1018118781,2018
세기P&C(주),1018118781,2019
세기P&C(주),1018118781,2020
세기P&C(주),1018118781,2021
광원전기(주),1018118985,2021
(주)갤러리현대,1018119311,2012
(주)갤러리현대,1018119311,2013
(주)갤러리현대,1018119311,2014
(주)갤러리현대,1018119311,2015
(주)갤러리현대,1018119311,2016
(주)갤러리현대,1018119311,2017
(주)갤러리현대,1018119311,2018
(주)갤러리현대,1018119311,2019
(주)갤러리현대,1018119311,2020
(주)갤러리현대,1018119311,2021
(주)가나아트갤러리,1018119742,2012
(주)가나아트갤러리,1018119742,2013
(주)가나아트갤러리,1018119742,2014
(주)가나아트갤러리,1018119742,2015
(주)가나아트갤러리,1018119742,2016
(주)가나아트갤러리,1018119742,2017
(주)가나아트갤러리,1018119742,2018
(주)가나아트갤러리,1018119742,2019
(주)가나아트갤러리,1018119742,2020
(주)가나아트갤러리,1018119742,2021
(주)영진종합전자,1018121379,2012
(주)영진종합전자,1018121379,2013
(주)영진종합전자,1018121379,2014
(주)영진종합전자,1018121379,2015
(주)영진종합전자,1018121379,2016
(주)영진종합전자,1018121379,2017
(주)영진종합전자,1018121379,2018
(주)영진종합전자,1018121379,2019
(주)영진종합전자,1018121379,2020
(주)영진종합전자,1018121379,2021
주식회사코스모스악기,1018121627,2012
주식회사코스모스악기,1018121627,2013
주식회사코스모스악기,1018121627,2014
주식회사코스모스악기,1018121627,2015
주식회사코스모스악기,1018121627,2016
주식회사코스모스악기,1018121627,2017
주식회사코스모스악기,1018121627,2018
주식회사코스모스악기,1018121627,2019
주식회사코스모스악기,1018121627,2020
주식회사코스모스악기,1018121627,2021
석영브라이스톤,1018122854,2012
석영브라이스톤,1018122854,2013
석영브라이스톤,1018122854,2014
석영브라이스톤,1018122854,2015
석영브라이스톤,1018122854,2016
석영브라이스톤,1018122854,2017
석영브라이스톤,1018122854,2018
석영브라이스톤,1018122854,2019
석영브라이스톤,1018122854,2020
석영브라이스톤,1018122854,2021
태원과학주식회사,1018124696,2012
태원과학주식회사,1018124696,2013
태원과학주식회사,1018124696,2014
태원과학주식회사,1018124696,2015
태원과학주식회사,1018124696,2016
태원과학주식회사,1018124696,2017
태원과학주식회사,1018124696,2018
태원과학주식회사,1018124696,2019
태원과학주식회사,1018124696,2020
태원과학주식회사,1018124696,2021
국제갤러리홀딩(주),1018124906,2012
국제갤러리홀딩(주),1018124906,2013
국제갤러리홀딩(주),1018124906,2014
국제갤러리홀딩(주),1018124906,2015
국제갤러리홀딩(주),1018124906,2016
국제갤러리홀딩(주),1018124906,2017
국제갤러리홀딩(주),1018124906,2018
국제갤러리홀딩(주),1018124906,2019
국제갤러리홀딩(주),1018124906,2020
국제갤러리홀딩(주),1018124906,2021
(주)대한과학,1018125905,2012
(주)대한과학,1018125905,2013
(주)대한과학,1018125905,2014
(주)대한과학,1018125905,2015
(주)대한과학,1018125905,2016
(주)대한과학,1018125905,2017
(주)대한과학,1018125905,2018
(주)대한과학,1018125905,2019
(주)대한과학,1018125905,2020
(주)대한과학,1018125905,2021
(주)성도,1018133711,2012
(주)성도,1018133711,2013
(주)성도,1018133711,2014
(주)아이리스코리아,1018135174,2012
(주)아이리스코리아,1018135174,2013
(주)아이리스코리아,1018135174,2014
(주)아이리스코리아,1018135174,2015
(주)아이리스코리아,1018135174,2016
(주)아이리스코리아,1018135174,2017
(주)아이리스코리아,1018135174,2018
(주)아이리스코리아,1018135174,2019
(주)아이리스코리아,1018135174,2020
(주)아이리스코리아,1018135174,2021
에이치엠디바이스코리아(주),1018135742,2016
에이치엠디바이스코리아(주),1018135742,2017
에이치엠디바이스코리아(주),1018135742,2018
에이치엠디바이스코리아(주),1018135742,2019
에이치엠디바이스코리아(주),1018135742,2020
에이치엠디바이스코리아(주),1018135742,2021
성준전기(주),1018136659,2020
성준전기(주),1018136659,2021
(주)비엘에스,1018138303,2017
(주)비엘에스,1018138303,2018
(주)비엘에스,1018138303,2019
(주)비엘에스,1018138303,2020
(주)비엘에스,1018138303,2021
주식회사교원,1018139753,2012
주식회사교원,1018139753,2013
주식회사교원,1018139753,2014
주식회사교원,1018139753,2015
주식회사교원,1018139753,2016
주식회사교원,1018139753,2017
주식회사교원,1018139753,2018
주식회사교원,1018139753,2019
주식회사교원,1018139753,2020
주식회사광도케이블,1018142296,2021
주식회사잇츠,1018144673,2019
주식회사잇츠,1018144673,2020
주식회사잇츠,1018144673,2021
(주)일월세미컴,1018145255,2012
(주)일월세미컴,1018145255,2013
(주)일월세미컴,1018145255,2014
(주)일월세미컴,1018145255,2015
(주)일월세미컴,1018145255,2016
(주)일월세미컴,1018145255,2017
(주)일월세미컴,1018145255,2018
(주)일월세미컴,1018145255,2019
(주)일월세미컴,1018145255,2020
(주)일월세미컴,1018145255,2021
(주)서울옥션,1018146818,2012
(주)서울옥션,1018146818,2013
(주)서울옥션,1018146818,2014
(주)서울옥션,1018146818,2015
(주)서울옥션,1018146818,2016
(주)서울옥션,1018146818,2017
(주)서울옥션,1018146818,2018
(주)서울옥션,1018146818,2019
(주)서울옥션,1018146818,2020
(주)서울옥션,1018146818,2021
우형전자(주),1018147059,2021
(주)사운드솔루션,1018151140,2013
(주)사운드솔루션,1018151140,2014
(주)사운드솔루션,1018151140,2015
(주)사운드솔루션,1018151140,2016
(주)사운드솔루션,1018151140,2017
(주)사운드솔루션,1018151140,2018
(주)사운드솔루션,1018151140,2019
(주)사운드솔루션,1018151140,2020
(주)사운드솔루션,1018151140,2021
주식회사롯데닷컴,1018152964,2012
주식회사롯데닷컴,1018152964,2013
주식회사롯데닷컴,1018152964,2014
주식회사롯데닷컴,1018152964,2015
주식회사롯데닷컴,1018152964,2016
주식회사롯데닷컴,1018152964,2017
고진모터스,1018153885,2012
고진모터스,1018153885,2013
고진모터스,1018153885,2014
고진모터스,1018153885,2015
고진모터스,1018153885,2016
고진모터스,1018153885,2017
고진모터스,1018153885,2018
고진모터스,1018153885,2019
고진모터스,1018153885,2020
고진모터스,1018153885,2021
비멕스트레이딩(주),1018155791,2019
비멕스트레이딩(주),1018155791,2020
비멕스트레이딩(주),1018155791,2021
(주)투아이소프트,1018156562,2015
(주)투아이소프트,1018156562,2016
(주)투아이소프트,1018156562,2017
(주)투아이소프트,1018156562,2018
(주)투아이소프트,1018156562,2019
(주)투아이소프트,1018156562,2020
(주)투아이소프트,1018156562,2021
단암엔지니어링(주),1018157125,2021
주식회사아이피스,1018157557,2014
주식회사아이피스,1018157557,2015
주식회사아이피스,1018157557,2016
(주)이지메디컴,1018162216,2012
(주)이지메디컴,1018162216,2013
(주)이지메디컴,1018162216,2014
(주)이지메디컴,1018162216,2015
(주)이지메디컴,1018162216,2016
(주)이지메디컴,1018162216,2017
(주)이지메디컴,1018162216,2018
(주)이지메디컴,1018162216,2019
(주)이지메디컴,1018162216,2020
(주)이지메디컴,1018162216,2021
(주)비즈엠알오,1018162671,2012
(주)비즈엠알오,1018162671,2013
(주)비즈엠알오,1018162671,2014
(주)비즈엠알오,1018162671,2015
(주)비즈엠알오,1018162671,2016
(주)비즈엠알오,1018162671,2017
(주)비즈엠알오,1018162671,2018
(주)비즈엠알오,1018162671,2019
디에프에스서울(주),1018163684,2012
디에프에스서울(주),1018163684,2013
디에프에스서울(주),1018163684,2014
디에프에스서울(주),1018163684,2015
