column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
자기자본비율_ratio_industry,125,2442,0.343347,0.626634,0.478154,0.618229,-0.9762,0.2496,normal_high,76205.0,3.2248896272669603e-21,1.0470420867749872e-20,1.0,1,
부채비율_diff_industry,125,2442,0.909769,0.128457,0.085316,0.031124,0.4262,0.753,distress_high,229861.0,1.2222115150315468e-21,4.243789982748427e-21,1.0,1,
부채비율_ratio_industry,125,2442,1.062127,0.139132,0.089823,0.027469,0.4438,0.754,distress_high,230147.0,8.67848671932192e-22,3.055805182859831e-21,1.0,1,
유동비율_diff_industry,125,2442,0.465625,0.263409,0.053846,0.127123,0.1526,0.2201,normal_high,67186.0,4.0584348594951256e-26,1.9894288526936889e-25,1.0,1,
유동비율_ratio_industry,125,2442,0.424159,0.238497,0.048543,0.114668,0.154,0.22,normal_high,67154.0,3.890617092671492e-26,1.9894288526936889e-25,1.0,1,
당좌비율_diff_industry,125,2442,0.543279,0.248002,0.041656,0.112556,0.1884,0.2227,normal_high,67983.0,1.1560160534132766e-25,4.982827816436537e-25,1.0,1,
당좌비율_ratio_industry,125,2442,0.499062,0.225973,0.03659,0.101824,0.1896,0.2226,normal_high,67940.0,1.0928075933590252e-25,4.856115993247815e-25,1.0,1,
현금비율_diff_industry,125,2442,0.795521,0.136071,0.014827,0.041161,0.2718,0.2942,normal_high,89795.0,7.621424547728062e-15,1.7480331531486385e-14,1.0,1,
현금비율_ratio_industry,125,2442,0.761075,0.123967,0.009313,0.03472,0.2769,0.2915,normal_high,88973.0,3.3959035456654913e-15,7.93435407865769e-15,1.0,1,
순운전자본대총자본_diff_industry,125,2442,0.288719,0.631445,0.422079,0.626496,-1.1011,0.2132,normal_high,65068.0,2.3983363542091297e-27,1.42758116321972e-26,1.0,1,
