사업자등록번호,회사명,prob_2021,prob_2022,prob_2023,prob_2024,pred_label_2021,pred_label_2022,pred_label_2023,pred_label_2024,change_2021_2022,change_2022_2023,change_2023_2024
8438700126,주식회사디아이비즈,0.1476,0.5557,0.9546,0.9852,0,1,1,1,276.49,71.78,3.21
2068629007,주식회사엠지티앤씨,0.0025,0.8228,0.9521,0.9847,0,1,1,1,32812.0,15.71,3.42
1798801318,주식회사루덴스,0.0047,0.0804,0.9674,0.9803,0,0,1,1,1610.64,1103.23,1.33
5428600304,주식회사윙잇,0.0228,0.5176,0.9345,0.9794,0,1,1,1,2170.18,80.54,4.8
2158140355,메디랩코리아(주),0.0441,0.0163,0.4622,0.9751,0,0,1,1,-63.04,2735.58,110.97
5768800693,(주)다름플러스,0.001,0.1629,0.8556,0.9749,0,0,1,1,16190.0,425.23,13.94
4798801071,주식회사리씽크,0.0033,0.6304,0.9445,0.9706,0,1,1,1,19003.03,49.83,2.76
8868100081,(주)판디아메디텍,0.0009,0.011,0.8496,0.9699,0,0,1,1,1122.22,7623.64,14.16
2048602389,에스지바이오사이언스주식회사,0.0023,0.0009,0.7312,0.9689,0,0,1,1,-60.87,81144.44,32.51
7778600521,(주)시코쿠통신,0.0033,0.2433,0.8645,0.9642,0,0,1,1,7272.73,255.32,11.53
4748100554,주식회사씨앤피물류,0.0011,0.0439,0.8812,0.9623,0,0,1,1,3890.91,1907.29,9.2
1138171135,(주)바우글로벌,0.003,0.0238,0.9349,0.9616,0,0,1,1,693.33,3828.15,2.86
2118817109,(주)에스엠브랜드마케팅,0.0004,0.0001,0.5792,0.9612,0,0,1,1,-75.0,579100.0,65.95
4968602009,(주)교원,0.001,0.512,0.861,0.9601,0,1,1,1,51100.0,68.16,11.51
1138673991,통우인터내셔널(주),0.0012,0.0018,0.2057,0.9584,0,0,0,1,50.0,11327.78,365.92
2188106865,(주)온타이드,0.4896,0.0039,0.7033,0.957,1,0,1,1,-99.2,17933.33,36.07
3168700487,주식회사AL네트웍스,0.0017,0.7608,0.7159,0.9561,0,1,1,1,44652.94,-5.9,33.55
2148736452,주식회사뷰티르샤,0.0017,0.1999,0.8014,0.9556,0,0,1,1,11658.82,300.9,19.24
1078190632,(주)하스오토메이션코리아,0.0177,0.4825,0.783,0.9546,0,1,1,1,2625.99,62.28,21.92
6358100130,(주)월곶식자재,0.2196,0.659,0.7338,0.9518,0,1,1,1,200.09,11.35,29.71
4108661173,주식회사삼성모터스,0.0025,0.047,0.8709,0.9508,0,0,1,1,1780.0,1752.98,9.17
1348641502,성환유통(주),0.0027,0.001,0.8434,0.9492,0,0,1,1,-62.96,84240.0,12.54
2068602880,주식회사휴코리아,0.5282,0.0453,0.8992,0.949,1,0,1,1,-91.42,1884.99,5.54
3018702178,주식회사서호비디,0.0055,0.1629,0.8224,0.9472,0,0,1,1,2861.82,404.85,15.18
2018180265,(주)바이크코리아,0.0013,0.0058,0.7826,0.946,0,0,1,1,346.15,13393.1,20.88
3128663896,(주)비전오토모빌,0.0038,0.1806,0.622,0.9458,0,0,1,1,4652.63,244.41,52.06
6178614330,(주)티에이치케이컴퍼니,0.0045,0.0934,0.9652,0.9445,0,0,1,1,1975.56,933.4,-2.14
2048701989,주식회사수정,0.0064,0.0628,0.9189,0.9437,0,0,1,1,881.25,1363.22,2.7
1298147625,주식회사레뱅,0.0006,0.0001,0.4301,0.9429,0,0,0,1,-83.33,430000.0,119.23
5148196886,(주)미래물산,0.0191,0.0371,0.7439,0.9406,0,0,1,1,94.24,1905.12,26.44
1268105081,(주)신양,0.0024,0.0052,0.8879,0.9403,0,0,1,1,116.67,16975.0,5.9
1198649257,농업회사법인주식회사영림유통,0.8607,0.6666,0.897,0.9401,1,1,1,1,-22.55,34.56,4.8
1258603746,에이스메탈(주),0.0005,0.0029,0.5266,0.9369,0,0,1,1,480.0,18058.62,77.91
8108600319,(주)라벡스,0.0019,0.0382,0.9073,0.9366,0,0,1,1,1910.53,2275.13,3.23
