변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,유보율,도입기 vs 성숙기,2476.452,5934.1248,-3457.6728,24.7394,0.0,***
기본 재무비율,유보율,도입기 vs 쇠퇴기,2476.452,2178.8703,297.5817,0.1292,0.9881,n.s.
기본 재무비율,유보율,성장기 vs 성숙기,3846.4786,5934.1248,-2087.6463,8.0059,0.0462,*
기본 재무비율,유보율,성장기 vs 쇠퇴기,3846.4786,2178.8703,1667.6083,3.7242,0.2931,n.s.
기본 재무비율,유보율,성숙기 vs 쇠퇴기,5934.1248,2178.8703,3755.2545,26.2629,0.0,***
기본 재무비율,자본잠식률,도입기 vs 성장기,-4521.0239,-4847.4932,326.4693,0.0466,0.9974,n.s.
기본 재무비율,자본잠식률,도입기 vs 성숙기,-4521.0239,-8144.1285,3623.1046,8.2321,0.0417,*
기본 재무비율,자본잠식률,도입기 vs 쇠퇴기,-4521.0239,-3474.9628,-1046.0611,0.4837,0.9224,n.s.
기본 재무비율,자본잠식률,성장기 vs 성숙기,-4847.4932,-8144.1285,3296.6353,6.0501,0.1095,n.s.
기본 재무비율,자본잠식률,성장기 vs 쇠퇴기,-4847.4932,-3474.9628,-1372.5304,0.7646,0.8579,n.s.
기본 재무비율,자본잠식률,성숙기 vs 쇠퇴기,-8144.1285,-3474.9628,-4669.1657,12.3047,0.0065,**
기본 재무비율,유동비율,도입기 vs 성장기,200.018,175.1629,24.8551,0.4396,0.9319,n.s.
기본 재무비율,유동비율,도입기 vs 성숙기,200.018,424.312,-224.2939,51.3337,0.0,***
기본 재무비율,유동비율,도입기 vs 쇠퇴기,200.018,385.8198,-185.8018,24.8301,0.0,***
기본 재무비율,유동비율,성장기 vs 성숙기,175.1629,424.312,-249.1491,56.2289,0.0,***
기본 재무비율,유동비율,성장기 vs 쇠퇴기,175.1629,385.8198,-210.6569,29.3049,0.0,***
기본 재무비율,유동비율,성숙기 vs 쇠퇴기,424.312,385.8198,38.4921,1.3607,0.7148,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성장기,188.4294,165.1551,23.2743,0.393,0.9417,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성숙기,188.4294,411.3142,-222.8848,51.6912,0.0,***
기본 재무비율,당좌비율_추정,도입기 vs 쇠퇴기,188.4294,370.1534,-181.724,24.221,0.0,***
기본 재무비율,당좌비율_추정,성장기 vs 성숙기,165.1551,411.3142,-246.1591,55.9707,0.0,***
기본 재무비율,당좌비율_추정,성장기 vs 쇠퇴기,165.1551,370.1534,-204.9983,28.2994,0.0,***
기본 재무비율,당좌비율_추정,성숙기 vs 쇠퇴기,411.3142,370.1534,41.1608,1.5866,0.6625,n.s.
기본 재무비율,현금비율,도입기 vs 성장기,66.9971,59.3448,7.6523,0.3158,0.957,n.s.
기본 재무비율,현금비율,도입기 vs 성숙기,66.9971,132.4556,-65.4585,33.1364,0.0,***
기본 재무비율,현금비율,도입기 vs 쇠퇴기,66.9971,110.1738,-43.1768,10.1621,0.0174,*
기본 재무비율,현금비율,성장기 vs 성숙기,59.3448,132.4556,-73.1108,36.6953,0.0,***
기본 재무비율,현금비율,성장기 vs 쇠퇴기,59.3448,110.1738,-50.8291,12.9306,0.0049,**
기본 재무비율,현금비율,성숙기 vs 쇠퇴기,132.4556,110.1738,22.2818,3.4555,0.3268,n.s.
기본 재무비율,순운전자본비율,도입기 vs 성장기,-32.4754,-4.2618,-28.2136,26.0152,0.0,***
기본 재무비율,순운전자본비율,도입기 vs 성숙기,-32.4754,22.3385,-54.8139,140.8192,0.0,***
기본 재무비율,순운전자본비율,도입기 vs 쇠퇴기,-32.4754,-24.5866,-7.8888,2.0559,0.561,n.s.
기본 재무비율,순운전자본비율,성장기 vs 성숙기,-4.2618,22.3385,-26.6003,29.4393,0.0,***
기본 재무비율,순운전자본비율,성장기 vs 쇠퇴기,-4.2618,-24.5866,20.3248,12.5301,0.0059,**
기본 재무비율,순운전자본비율,성숙기 vs 쇠퇴기,22.3385,-24.5866,46.9251,92.8825,0.0,***
기본 재무비율,순운전자본회전율,도입기 vs 성장기,3.0058,5.0118,-2.006,10.3594,0.0159,*
기본 재무비율,순운전자본회전율,도입기 vs 성숙기,3.0058,4.7817,-1.7759,11.643,0.0088,**
기본 재무비율,순운전자본회전율,도입기 vs 쇠퇴기,3.0058,2.7335,0.2723,0.1929,0.9787,n.s.
기본 재무비율,순운전자본회전율,성장기 vs 성숙기,5.0118,4.7817,0.2301,0.1736,0.9817,n.s.
기본 재무비율,순운전자본회전율,성장기 vs 쇠퇴기,5.0118,2.7335,2.2783,12.4014,0.0062,**
기본 재무비율,순운전자본회전율,성숙기 vs 쇠퇴기,4.7817,2.7335,2.0481,13.9381,0.003,**
기본 재무비율,금융비용부담률,도입기 vs 성장기,38.6987,7.2759,31.4228,82.6176,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 성숙기,38.6987,2.5025,36.1962,157.2092,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 쇠퇴기,38.6987,26.2004,12.4983,13.2119,0.0043,**
기본 재무비율,금융비용부담률,성장기 vs 성숙기,7.2759,2.5025,4.7734,2.4271,0.4888,n.s.
기본 재무비율,금융비용부담률,성장기 vs 쇠퇴기,7.2759,26.2004,-18.9245,27.8113,0.0,***
기본 재무비율,금융비용부담률,성숙기 vs 쇠퇴기,2.5025,26.2004,-23.6979,60.6476,0.0,***
기본 재무비율,비유동비율,도입기 vs 성장기,3731.3691,775.7054,2955.6637,79.0612,0.0,***
기본 재무비율,비유동비율,도입기 vs 성숙기,3731.3691,394.4134,3336.9557,144.5187,0.0,***
기본 재무비율,비유동비율,도입기 vs 쇠퇴기,3731.3691,3044.9451,686.424,4.3104,0.2302,n.s.
기본 재무비율,비유동비율,성장기 vs 성숙기,775.7054,394.4134,381.292,1.675,0.6426,n.s.
