금융비용부담률,매출총이익률_diff,총자본영업이익률_diff,영업CF_총부채_diff,ROA_ratio,ROA변화,매출원가율,현금ROA,금융비용대매출액_ratio_industry,순이익률_ratio,ROE_diff,순운전자본대총자본_ratio_industry,매입채무지급기간_diff,비유동장기적합률_ratio,매출액순이익률_diff_industry,영업이익률_ratio,매출채권회전율_diff,판관비율,부채비율,유보율_diff,자기자본비율_diff_industry,총자산회전율_ratio,순이익증가율_diff,자본잠식률,부채비율변화,장기부채비율,현금ROE_ratio,유동비율변화_diff,자기자본증가율,유형자산비율_ratio,총자산증가율_diff_industry,순운전자본비율_diff,FCF_총자산_ratio,영업현금흐름비율_diff,ROIC_diff,유동자산회전율,유동비율_ratio,순운전자본회전율_diff,장기부채의존도,유형자산회전율_diff,유형자산증가율_ratio_industry,비유동비율_ratio,매출액증가율,총부채비율,비유동자산회전율_ratio,차입금의존도_ratio_industry,재고자산보유기간_ratio,감가상각비율,영업CF_유동부채_diff,투하자본회전율_ratio,업력,순차입금비율
-0.6571735,-0.03669222,-2.1296039,-0.037689,-0.2069117,-0.8512839,-0.0094046565,0.033340488,-0.4710449,-0.28324792,-0.0055114403,-0.058123697,-0.026741648,-0.026828663,-0.64592487,-1.5286163,-0.027475238,0.029861541,-0.021235934,-0.028344644,-0.0008387321,-0.06699309,-0.008764083,-0.36234367,-0.011315822,-0.014302086,-0.021032393,-0.010146293,0.023658246,0.04564646,-0.01927731,-0.009438329,0.047861,-0.014745676,-0.397737,-0.025037907,-0.018862525,-0.082613796,-0.053005513,0.10376903,0.026833484,-0.060764313,-0.2064924,-0.0055502234,-0.30552202,-0.02890501,-0.025040051,0.003522467,0.016303143,-0.080750205,0.06459162,-0.101270795
-0.6484232,-0.010380367,-2.0792172,-0.16951585,-0.2804204,0.7752647,0.017005283,0.048780687,-0.44651276,-0.23282935,-0.0032526422,-0.07022789,0.0031462521,-0.07482045,-0.4739439,-2.1458776,-0.090444,-0.052937724,-0.06689429,-0.039311744,0.008601077,0.014601639,-0.34898528,-0.26241094,0.048742518,0.0023254247,-0.07156629,-0.023168873,-0.103401035,-0.043987826,0.056601875,0.050634895,-0.009677938,-0.08073826,-0.4873547,-0.014016219,-0.10972822,-0.014225744,-0.018391348,0.10639249,0.044098787,-0.078152634,-0.119423136,0.0006114468,-0.11653649,0.019718116,0.012958905,-0.019434428,-0.26346916,-0.08328887,0.03549083,-0.100755796
-0.06922054,-0.017831163,-2.223982,-0.10981495,-0.24816297,-0.6844494,-0.01563091,0.048131533,-0.008972091,-0.2862649,0.00386436,-0.034465045,-0.05802047,-0.028839605,-0.61824286,-1.969716,0.09544858,-0.033239365,-0.030064007,-0.03921765,-0.012084735,0.048733354,0.012282796,-0.37671226,-0.017231168,0.035903092,-0.027848009,-0.031330276,-0.09727155,-0.17211711,-0.16010495,-0.037069153,-0.04820017,-0.028461576,-0.49719295,0.008818577,-0.06204388,-0.21375652,-0.057215232,-0.065795,-0.13417313,-0.030490434,0.09615457,-0.009751119,-0.020334315,-0.02805865,0.015589535,-0.046045177,0.008804863,-0.042329658,0.04126048,-0.18548313
0.3045462,-0.030979218,-1.9832531,0.020168668,-0.11179413,-0.55411685,-0.051665027,0.032495737,-0.055191644,-0.30110022,0.003050164,-0.025883006,-0.062608674,-0.030551307,-0.688763,-1.9948512,0.06997437,-0.036798213,-0.020130912,-0.0022650487,-0.012009948,0.024642814,0.0005935272,-0.38567743,-0.05201978,-0.014523032,-0.05360853,-0.029725218,-0.05558391,-0.14050898,-0.19659491,-0.034486417,-0.04419695,-0.04621067,0.059878882,-0.0025897634,-0.030326815,0.017126463,-0.06902709,-0.05738145,-0.14264812,-0.03364713,-0.242933,-0.030784924,0.030736173,-0.04690661,-0.42727023,-0.011085323,0.09477995,-0.02121893,0.021084297,-0.094933406
0.4746323,-0.0034741263,-0.30257088,-0.07874292,0.1435838,-0.36159822,0.022038901,0.06335431,0.051955823,0.30774543,-0.013723387,-0.04176398,-0.08613683,-0.019091027,0.20413792,-1.6378613,0.03797205,-0.061363272,-0.01477544,-0.027035726,0.00014566813,0.04172712,0.020598121,-0.30100647,-0.01478659,-0.022612022,-0.08052129,-0.09383763,0.04851866,-0.08975197,-0.03132265,-0.050608955,0.059392028,-0.17499541,-0.25690997,-0.001888237,-0.0048963972,0.030135352,-0.054771803,-0.080156624,-0.092972204,-0.052095253,0.087322116,-0.009897843,0.064453825,-0.03529583,0.0016409294,0.00827757,-0.0061702235,-0.018314052,0.007190164,-0.14382516
0.7256543,-0.03490524,-0.231557,0.033078503,-0.1265416,-0.59032553,-0.04614139,0.03173163,0.30347744,-0.2728069,-0.0012184243,-0.045434844,-0.10096025,-0.016352834,-0.6966708,-1.7353133,0.05319714,-0.030671224,-0.01595496,0.033298254,-0.025186988,0.038458247,0.00041370746,-0.19610469,-0.04430534,-0.013513257,-0.07852863,-0.085164614,-0.022718819,-0.10998291,-0.01098038,-0.029152106,-0.020875221,-0.07737221,-0.010284185,0.0037547757,-0.013363086,-0.19644576,-0.04583658,-0.07811484,-0.11360738,-0.04968781,-0.23421098,-0.013764804,0.08648339,-0.03882551,-0.53641427,-0.033092856,0.11387604,0.053128514,-0.017864099,-0.05943026
0.58878154,-0.010203052,0.53750104,0.03424847,-0.008405758,-0.09790965,0.0102251265,-0.0038685065,0.2502906,0.13732772,-0.043077525,-0.049110726,-0.08823939,-0.007791734,0.08059631,0.55924183,0.086199306,-0.03167484,-0.033383265,0.0023567793,-0.02381054,0.04639172,-0.0025209114,-0.27388272,-0.0961958,-0.0047058295,-0.0325025,0.014082318,0.025933748,-0.08190206,0.0005918034,-0.025361042,-0.009094543,0.058548905,0.034473028,-0.012920483,0.000792488,0.012576982,-0.058841247,-0.042795926,0.0010275391,-0.009543072,-0.15638274,-0.014453969,0.10308926,-0.03636753,-0.51694936,-0.009717999,0.13658234,0.041877672,0.056318566,-0.0033238716
0.4907769,0.030583113,0.5290826,0.045726072,0.11107619,-0.21139887,-0.00409249,0.008453849,0.09978933,0.16228554,-0.0026644454,-0.07472536,-0.05787391,-0.0037348296,0.16939774,0.6460884,0.041106336,-0.011425523,-0.023790399,-0.039971974,-0.020175563,0.04398391,0.17754309,-0.23860802,-0.08011223,0.00454541,-0.024610318,-0.033366293,0.019599179,-0.08255453,-0.11012866,-0.0062812986,0.009530301,-0.015905311,0.028981796,-0.045697697,0.009768856,-0.009144561,-0.054377895,-0.050231587,-0.0824526,-0.024223786,0.26159787,-0.017615557,0.06302323,-0.04522935,-0.72578657,-0.012027407,0.13969025,0.034113903,0.01988851,0.00658135
-1.2209938,0.014661463,-1.9909488,-0.22525047,-0.24227053,-0.03676729,-0.012812641,-0.17523645,-0.8778087,-0.12170547,-0.029528,-0.07633671,-0.023734167,-0.14311503,-0.5719359,-1.8159429,0.0001619209,0.014927246,-0.05390048,-0.14068913,0.009380852,0.0041463426,-0.02247233,-0.4127856,-0.04825335,-0.015394273,-0.013856579,0.18248752,-0.03237632,0.057026986,0.017936606,-0.043178223,-0.066598274,-0.012810649,-0.41710633,-0.048839312,-0.10656032,-0.19237503,0.10246581,0.052511085,-0.16066945,-0.08699274,0.038620736,-0.04502558,0.022313848,-0.13834974,0.0033325122,-0.033163086,-0.2085077,-0.034250308,-0.026106102,-0.3986203
-1.4376969,0.01916273,-0.3845197,-0.21415539,-0.15784667,-0.11946857,-0.004681712,0.07842123,-1.0891577,-0.12630756,-0.015196408,-0.0848728,-0.011001765,-0.08270059,-0.4807337,-1.6203257,-0.053339798,0.02649163,-0.026017725,-0.057078384,0.033464096,0.030616956,0.032666117,-0.29763594,-0.00319854,-0.0042287987,0.01553732,-0.038347322,-0.045035653,0.09509314,-0.18844873,-0.12175623,-0.12352741,-0.018007623,0.011631098,0.011770701,-0.16766766,0.011036682,0.09589286,0.12794335,0.029153,-0.047299195,0.043702953,-0.055025455,0.0770804,-0.11154927,0.003469742,-0.05163957,-0.31978366,-0.018789642,-0.008068365,-0.4147084
