Feature,Perm_Mean,Perm_Std,Rank
ROA변화,0.18634460751443396,0.008759074325973146,1
총자본영업이익률_diff,0.08585717905077835,0.00948578721483232,2
영업이익률_ratio,0.06981418607527151,0.008741779584782346,3
금융비용부담률,0.06608625869967154,0.010204668849261063,4
자본잠식률,0.04790688819845587,0.003670043880775195,5
매출액증가율,0.030555267222130658,0.004623895319731692,6
비유동장기적합률_ratio,0.02874587969164589,0.0016690079846667853,7
금융비용대매출액_ratio_industry,0.026115509826446098,0.0066217107102129686,8
부채비율,0.02048403397438104,0.0014705681486498836,9
매출액순이익률_diff_industry,0.018418878110933463,0.005688888059483651,10
영업CF_유동부채_diff,0.017566235781533504,0.006737350414113491,11
자기자본비율_diff_industry,0.016186563902986523,0.0014801835837582949,12
순운전자본대총자본_ratio_industry,0.013344155334114679,0.0016487517724549628,13
매출채권회전율_diff,0.011757498682904065,0.0032128622100824657,14
비유동비율_ratio,0.008724436055431974,0.002384455704756257,15
영업CF_총부채_diff,0.006131712666647484,0.003982697652754133,16
순차입금비율,0.005983335524206553,0.0025704367912076026,17
투하자본회전율_ratio,0.004876883058281208,0.0025439782642621683,18
차입금의존도_ratio_industry,0.004118725997054525,0.0030165642338654815,19
업력,0.003594704681251626,0.0024225307309780906,20
부채비율변화,0.0034217869604473983,0.0015295552568570837,21
순이익증가율_diff,0.00332422557952788,0.002674050087574471,22
유보율_diff,0.0027752486068884624,0.0020465128424935583,23
유동비율_ratio,0.0022350668963555718,0.0018950324887397566,24
감가상각비율,0.0021751110252184254,0.002280165060772605,25
유형자산비율_ratio,0.00195380715432605,0.004960082753287605,26
총부채비율,0.0018725077871086274,0.0010340187488816982,27
ROIC_diff,0.0017545783045949058,0.003218271315886028,28
판관비율,0.0016287566419798413,0.0024692578057468003,29
순운전자본비율_diff,0.00127327777134744,0.0013457532406953626,30
장기부채의존도,0.001083319252976045,0.0016428380737098364,31
매출원가율,0.00101126410574508,0.0011751070694886103,32
유형자산증가율_ratio_industry,0.0008728129723014732,0.0024886823660802164,33
비유동자산회전율_ratio,0.00042442357023315854,0.0030832012839958236,34
영업현금흐름비율_diff,0.0003032147303850393,0.0010193631127059807,35
유형자산회전율_diff,0.0001616049427827689,0.002433788207298279,36
자기자본증가율,-2.0511416218538246e-05,0.0015778080171523945,37
유동비율변화_diff,-0.00025259968514279585,0.0025563856502683465,38
ROA_ratio,-0.00048388195711451256,0.003522320289664147,39
유동자산회전율,-0.0013202960456648297,0.0014234072330692787,40
FCF_총자산_ratio,-0.0016906694289003598,0.0013943855920320475,41
현금ROA,-0.0022643656592528133,0.0020159910969825344,42
순이익률_ratio,-0.002805648214457377,0.0024153287232321777,43
총자산증가율_diff_industry,-0.004171969510184596,0.0014309925332151444,44
매출총이익률_diff,-0.004389953689038204,0.001622350452853032,45
현금ROE_ratio,-0.005432653813734981,0.0015752728902846515,46
장기부채비율,-0.005868484919597603,0.0017134745668077218,47
총자산회전율_ratio,-0.005878095453738408,0.002017481589333711,48
매입채무지급기간_diff,-0.006847870607108268,0.0009565004256589163,49
순운전자본회전율_diff,-0.010644926496558706,0.0028945958388722336,50
재고자산보유기간_ratio,-0.016347243335638095,0.003546865241192103,51
ROE_diff,-0.02299345308272212,0.001096027174230458,52
