Combined_Rank,Feature,Category,Feature_Type
1,총자본영업이익률_diff,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음)
2,영업이익률_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음)
2,ROA변화,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음)
4,금융비용부담률,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음)
5,자본잠식률,안정성 (Solvency),★ 핵심피처 (SHAP+Perm 모두 높음)
6,금융비용대매출액_ratio_industry,미분류,★ 핵심피처 (SHAP+Perm 모두 높음)
7,매출액순이익률_diff_industry,수익성 (Profitability),★ 핵심피처 (SHAP+Perm 모두 높음)
8,매출액증가율,성장성 (Growth),★ 핵심피처 (SHAP+Perm 모두 높음)
9,영업CF_유동부채_diff,현금흐름 (Cash Flow),★ 핵심피처 (SHAP+Perm 모두 높음)
