column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
부채비율변화,295,3618,0.609782,0.48903,0.493947,0.493947,0.1051,0.6032,distress_high,643808.0,3.4239373869979583e-09,5.162244060396922e-09,1.0,1,
유동비율변화,295,3618,-0.283932,0.660609,0.595933,0.600204,-0.1786,0.3924,normal_high,418765.5,7.362779471365671e-10,1.1363029735335995e-09,1.0,1,
업력,295,3615,12.755932,18.62545,10.0,19.0,-0.5477,0.326,normal_high,347604.5,2.2148856878609072e-23,4.4297713757218144e-23,1.0,1,
부채비율_diff,295,3618,1.064102,0.075852,0.045919,0.012428,1.7523,0.7243,distress_high,773105.0,1.0618476720709696e-37,4.0808263475668635e-37,1.0,1,
부채비율_ratio,295,3618,0.840822,0.059304,0.035638,0.009067,1.7536,0.7244,distress_high,773190.0,1.0011834387719753e-37,3.924639079986143e-37,1.0,1,
총부채비율_diff,295,3618,0.291731,0.107167,0.148986,0.085519,0.6695,0.7175,distress_high,765805.0,1.5389369288428467e-35,5.393513733672013e-35,1.0,1,
총부채비율_ratio,295,3618,0.280976,0.103715,0.143719,0.082901,0.6682,0.7173,distress_high,765616.0,1.7469688734752163e-35,6.007121038616533e-35,1.0,1,
장기부채비율_diff,295,3618,0.576853,0.081287,0.034989,0.010051,0.8612,0.6969,distress_high,743829.5,1.951441087447004e-29,4.4997935663483856e-29,1.0,1,
장기부채비율_ratio,295,3618,0.752268,0.099115,0.038822,0.006097,0.8533,0.7022,distress_high,749505.5,5.6393483186273345e-31,1.3317015306638045e-30,1.0,1,
장기부채의존도_diff,295,3618,0.267189,0.148684,0.116642,0.076473,0.4157,0.6175,distress_high,659031.5,1.81692551993386e-11,2.9925832093028284e-11,1.0,1,
장기부채의존도_ratio,295,3618,0.241638,0.12025,0.086756,0.046045,0.4147,0.6136,distress_high,654953.0,7.823177442999666e-11,1.2568383433015855e-10,1.0,1,
차입금의존도_diff,295,3618,0.422802,0.185985,0.260444,0.071696,0.332,0.6827,distress_high,728606.5,1.1974958149419743e-25,2.496906167325819e-25,1.0,1,
차입금의존도_ratio,295,3618,0.332745,0.132456,0.188626,0.039063,0.3594,0.6828,distress_high,728751.0,1.8437640041105468e-26,3.928018965278991e-26,1.0,1,
순차입금비율_diff,295,3618,2.144828,0.187555,0.179242,0.127236,1.8879,0.7085,distress_high,756146.0,8.795411897073362e-33,2.2101291433671525e-32,1.0,1,
순차입금비율_ratio,295,3618,3.243668,0.260498,0.221513,0.169455,1.5221,0.7119,distress_high,759801.0,8.211578702546032e-34,2.3668668024985622e-33,1.0,1,
