column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
매출채권회수기간,454,11343,0.803897,0.156572,0.060346,0.080207,0.3087,0.4574,ambiguous,2355652.5,0.002062055044823492,0.002454827434313681,1.0,0,방향 불명확 (CLES 0.45~0.55)
재고자산회전율,454,11343,0.120294,0.186847,0.007064,0.00836,-0.0504,0.4681,ambiguous,2410783.5,0.021054100124626926,0.02403436087286179,1.0,0,방향 불명확 (CLES 0.45~0.55)
재고자산보유기간,454,11343,1.028574,0.36547,0.088152,0.071108,0.046,0.5621,distress_high,2894692.5,6.875515393272897e-06,9.004531031581205e-06,1.0,1,
매입채무회전율,454,11343,0.073085,0.104277,0.002077,0.002233,-0.035,0.4702,ambiguous,2421393.5,0.030956932511130693,0.03486141048550753,1.0,0,방향 불명확 (CLES 0.45~0.55)
매입채무지급기간,454,11343,3.634312,0.139161,0.054474,0.042322,0.3675,0.5873,distress_high,3024363.5,2.6063322262004964e-10,3.8784705747031195e-10,1.0,1,
현금전환주기_CCC,454,11343,0.792974,0.558781,0.335211,0.333148,0.0187,0.5237,ambiguous,2696708.0,0.08641207143576632,0.09392616460409382,0.0,0,FDR 비유의
영업CF_유동부채,454,11343,0.230827,0.326271,0.249254,0.274052,-0.1879,0.2864,normal_high,1474970.0,6.6373762928325e-54,2.1273641964206726e-53,1.0,1,
영업CF_총부채,454,11343,0.498529,0.688074,0.528983,0.582224,-0.4143,0.2885,normal_high,1485440.0,6.446340393693301e-53,1.9653476810040553e-52,1.0,1,
FCF_총자산,454,11343,0.470307,0.508539,0.482381,0.514864,-0.1102,0.3735,normal_high,1923622.0,5.568669985193158e-20,9.281116641988596e-20,1.0,1,
매출액증가율,454,11343,0.329084,0.266572,0.204903,0.210111,0.0304,0.4436,normal_high,2284397.0,4.457509921930811e-05,5.656738479607628e-05,1.0,1,
영업이익증가율,454,11343,0.134309,0.298302,0.292358,0.292358,-0.1053,0.4923,ambiguous,2535225.0,0.5763662027211988,0.6131555348097859,0.0,0,FDR 비유의
순이익증가율,454,11343,0.228431,0.378894,0.341773,0.341773,-0.0562,0.466,ambiguous,2399747.5,0.013419581923717762,0.015460347838384519,1.0,0,방향 불명확 (CLES 0.45~0.55)
EBITDA증가율,454,11343,0.231803,0.33735,0.335451,0.335451,-0.0165,0.4995,ambiguous,2572359.5,0.9719046192028284,0.9719046192028284,0.0,0,FDR 비유의
총자산증가율,454,11343,0.27056,0.324591,0.267946,0.293728,-0.2145,0.3395,normal_high,1748403.0,3.4444080255907986e-31,6.378533380723701e-31,1.0,1,
유형자산증가율,454,11343,1.649589,0.228188,0.070454,0.071663,0.1871,0.3931,normal_high,2024487.0,1.0267766382466399e-14,1.6144286764884273e-14,1.0,1,
자기자본증가율,454,11343,0.181272,0.224616,0.197232,0.229075,-0.0058,0.247,normal_high,1271983.0,6.575508402120738e-75,2.9354948223753292e-74,1.0,1,
부채증가율,454,11343,0.270042,0.274853,0.229123,0.227706,-0.0098,0.474,ambiguous,2440747.0,0.05944594838456695,0.06575879246080416,0.0,0,FDR 비유의
영업현금흐름증가율,454,11343,0.241979,0.409598,0.33709,0.33709,-0.0757,0.4975,ambiguous,2561931.0,0.8501388665132175,0.8674886392992014,0.0,0,FDR 비유의
FCF증가율,454,11343,0.543856,0.552138,0.544931,0.544931,-0.0065,0.5432,ambiguous,2797502.0,0.000957945030127907,0.0011569384421834625,1.0,0,방향 불명확 (CLES 0.45~0.55)
ROA변화,454,11343,0.594813,0.520588,0.54091,0.53992,0.3634,0.5522,distress_high,2843837.0,0.0001537127757808753,0.00019214096972609414,1.0,1,
영업이익률변화,454,11343,-0.417575,0.586745,0.678437,0.677351,-0.1199,0.5472,ambiguous,2817890.5,0.0006361235031107252,0.0007719945426101034,1.0,0,방향 불명확 (CLES 0.45~0.55)
부채비율변화,454,11343,1.279715,0.465897,0.564918,0.56434,0.0937,0.6031,distress_high,3105811.0,8.398523807827189e-14,1.2960684888622204e-13,1.0,1,
유동비율변화,454,11343,0.456978,0.485529,0.462181,0.464926,-0.0255,0.404,normal_high,2080372.5,3.6601535447154726e-12,5.479271773526157e-12,1.0,1,
업력,454,11340,15.427313,19.165697,13.0,18.0,-0.3359,0.3991,normal_high,2054761.0,2.7679447341328097e-13,4.1938556577769844e-13,1.0,1,
부채비율_diff,454,11343,1.269433,0.086383,0.045588,0.01839,1.0736,0.706,distress_high,3635524.0,2.9953229066195364e-50,7.4883072665488415e-50,1.0,1,
부채비율_ratio,454,11343,1.051411,0.07295,0.037194,0.015036,1.0415,0.7087,distress_high,3649589.0,1.5227784714740117e-51,4.2774676165000333e-51,1.0,1,
총부채비율_diff,454,11343,0.705007,0.404928,0.524812,0.388869,0.1779,0.7067,distress_high,3639251.0,1.3658038136977126e-50,3.5290438182323575e-50,1.0,1,
총부채비율_ratio,454,11343,0.706937,0.406809,0.526741,0.39078,0.1799,0.7065,distress_high,3638455.0,1.6156918759127305e-50,4.1216629487569653e-50,1.0,1,
장기부채비율_diff,454,11343,1.028765,0.085922,0.034855,0.015949,0.71,0.6803,distress_high,3503111.0,6.656855569656314e-39,1.4346671486328262e-38,1.0,1,
장기부채비율_ratio,454,11343,0.975437,0.073164,0.024248,0.00621,0.7067,0.6808,distress_high,3506046.0,3.488633923949603e-39,7.594888352945648e-39,1.0,1,
장기부채의존도_diff,454,11343,0.231773,0.173571,0.119443,0.095301,0.172,0.5817,distress_high,2995380.5,3.4124785735961634e-09,5.01835084352377e-09,1.0,1,
장기부채의존도_ratio,454,11343,0.179464,0.124688,0.072163,0.050504,0.178,0.5743,distress_high,2957357.5,7.459852996412975e-08,1.0656932852018537e-07,1.0,1,
차입금의존도_diff,454,11343,0.631646,0.349871,0.532243,0.297215,0.1607,0.7025,distress_high,3617886.5,1.0984074632184157e-48,2.6404025558134992e-48,1.0,1,
차입금의존도_ratio,454,11343,0.596925,0.313817,0.487179,0.260874,0.1762,0.6997,distress_high,3603221.0,1.2069419216226993e-47,2.846561135902593e-47,1.0,1,
